activity_id,professional_account_id,outreach_rep_id,activity_timestamp,activity_type,direction,reciprocated_flag,evidence_class
ACT-000023,PRO-000004,REP-000001,2026-05-20T09:06:28,Presentation,Inbound,1,Human-Entered
ACT-000024,PRO-000004,REP-000001,2026-06-25T14:19:20,Lunch,Outbound,1,Human-Entered
ACT-000025,PRO-000004,REP-000001,2026-07-18T07:57:59,Tour,Outbound,0,Human-Entered
ACT-000026,PRO-000004,REP-000001,2026-07-09T11:27:32,Lunch,Inbound,1,Human-Entered
ACT-000027,PRO-000005,REP-000003,2026-05-30T16:55:23,Lunch,Outbound,1,Human-Entered
ACT-000028,PRO-000005,REP-000003,2026-05-29T08:00:49,Email,Outbound,1,System-Observed
ACT-000029,PRO-000005,REP-000003,2026-06-18T11:01:03,Email,Inbound,1,System-Observed
ACT-000030,PRO-000006,REP-000001,2026-07-14T20:40:06,Meeting,Outbound,0,Human-Entered
ACT-000031,PRO-000006,REP-000002,2026-06-15T19:20:59,Lunch,Outbound,0,Human-Entered
ACT-000032,PRO-000006,REP-000001,2026-07-31T15:07:50,Presentation,Inbound,1,Human-Entered
ACT-000033,PRO-000007,REP-000004,2026-06-13T17:56:49,Lunch,Outbound,0,Human-Entered
ACT-000034,PRO-000007,REP-000004,2026-07-15T07:47:39,Presentation,Inbound,1,Human-Entered
ACT-000035,PRO-000007,REP-000004,2026-07-09T17:51:08,Email,Outbound,0,System-Observed
ACT-000036,PRO-000007,REP-000004,2026-07-23T19:03:00,Email,Inbound,1,System-Observed
ACT-000037,PRO-000007,REP-000004,2026-07-20T19:50:23,Meeting,Outbound,1,Human-Entered
ACT-000038,PRO-000007,REP-000004,2026-06-14T16:08:53,Tour,Outbound,1,Human-Entered
ACT-000039,PRO-000007,REP-000003,2026-07-03T14:59:01,Email,Outbound,0,System-Observed
ACT-000040,PRO-000007,REP-000004,2026-05-30T15:55:47,Call,Inbound,1,Human-Entered
ACT-000041,PRO-000007,REP-000004,2026-07-18T15:38:19,Presentation,Inbound,1,Human-Entered
ACT-000042,PRO-000008,REP-000001,2026-05-26T20:17:39,Meeting,Outbound,1,Human-Entered
ACT-000043,PRO-000008,REP-000001,2026-06-13T19:32:15,Presentation,Inbound,0,Human-Entered
ACT-000044,PRO-000008,REP-000001,2026-06-26T17:22:08,Presentation,Inbound,1,Human-Entered
ACT-000045,PRO-000009,REP-000004,2026-07-30T08:11:39,Meeting,Outbound,1,Human-Entered
ACT-000046,PRO-000009,REP-000003,2026-05-11T13:40:56,Meeting,Inbound,1,Human-Entered
ACT-000047,PRO-000009,REP-000003,2026-07-06T19:52:03,Call,Outbound,0,Human-Entered
ACT-000048,PRO-000010,REP-000003,2026-06-13T18:26:00,Lunch,Outbound,1,Human-Entered
ACT-000049,PRO-000010,REP-000004,2026-06-27T20:27:21,Call,Outbound,0,Human-Entered
ACT-000050,PRO-000010,REP-000004,2026-06-29T08:57:52,Email,Outbound,1,System-Observed
ACT-000051,PRO-000010,REP-000004,2026-06-18T10:52:59,Presentation,Outbound,1,Human-Entered
ACT-000052,PRO-000010,REP-000002,2026-07-11T16:59:32,Call,Inbound,1,Human-Entered
ACT-000053,PRO-000010,REP-000002,2026-05-06T20:23:15,Lunch,Outbound,0,Human-Entered
ACT-000054,PRO-000011,REP-000002,2026-06-08T15:40:27,Email,Outbound,0,System-Observed
ACT-000055,PRO-000011,REP-000003,2026-06-19T08:10:58,Meeting,Outbound,0,Human-Entered
ACT-000056,PRO-000011,REP-000003,2026-07-11T14:29:50,Email,Outbound,1,System-Observed
ACT-000057,PRO-000011,REP-000002,2026-06-14T20:38:56,Meeting,Outbound,1,Human-Entered
ACT-000058,PRO-000011,REP-000003,2026-06-05T19:54:06,Meeting,Inbound,0,Human-Entered
ACT-000059,PRO-000011,REP-000002,2026-06-06T20:56:59,Lunch,Inbound,1,Human-Entered
ACT-000060,PRO-000012,REP-000003,2026-07-08T19:01:11,Lunch,Outbound,1,Human-Entered
ACT-000061,PRO-000012,REP-000003,2026-07-02T19:21:14,Presentation,Inbound,1,Human-Entered
ACT-000062,PRO-000012,REP-000002,2026-07-18T19:45:06,Presentation,Outbound,0,Human-Entered
ACT-000063,PRO-000012,REP-000003,2026-05-12T20:01:04,Meeting,Inbound,1,Human-Entered
ACT-000064,PRO-000012,REP-000003,2026-05-10T16:12:40,Presentation,Inbound,1,Human-Entered
ACT-000065,PRO-000012,REP-000003,2026-06-30T11:41:42,Call,Inbound,1,Human-Entered
ACT-000066,PRO-000012,REP-000003,2026-07-04T14:01:16,Tour,Outbound,1,Human-Entered
ACT-000067,PRO-000012,REP-000003,2026-07-13T17:11:38,Call,Outbound,1,Human-Entered
ACT-000068,PRO-000013,REP-000001,2026-05-25T10:34:19,Lunch,Outbound,1,Human-Entered
ACT-000069,PRO-000013,REP-000002,2026-06-27T13:26:21,Call,Outbound,1,Human-Entered
ACT-000070,PRO-000013,REP-000001,2026-07-21T20:02:34,Lunch,Outbound,1,Human-Entered
ACT-000071,PRO-000013,REP-000001,2026-06-04T14:26:50,Lunch,Outbound,0,Human-Entered
ACT-000072,PRO-000013,REP-000001,2026-06-08T07:36:32,Email,Outbound,1,System-Observed
ACT-000073,PRO-000013,REP-000001,2026-05-29T11:38:38,Call,Outbound,1,Human-Entered
ACT-000074,PRO-000013,REP-000001,2026-06-05T15:03:50,Meeting,Outbound,1,Human-Entered
ACT-000075,PRO-000013,REP-000001,2026-07-27T08:22:14,Meeting,Inbound,0,Human-Entered
ACT-000076,PRO-000013,REP-000001,2026-06-14T16:44:32,Lunch,Outbound,1,Human-Entered
ACT-000077,PRO-000014,REP-000003,2026-07-29T15:15:13,Email,Outbound,1,System-Observed
ACT-000078,PRO-000014,REP-000004,2026-06-25T15:57:38,Call,Inbound,1,Human-Entered
ACT-000079,PRO-000014,REP-000003,2026-05-04T09:38:39,Presentation,Outbound,1,Human-Entered
ACT-000080,PRO-000015,REP-000003,2026-05-28T17:53:13,Meeting,Inbound,0,Human-Entered
ACT-000081,PRO-000015,REP-000003,2026-06-24T07:49:10,Presentation,Outbound,1,Human-Entered
ACT-000082,PRO-000015,REP-000003,2026-07-07T14:51:35,Tour,Outbound,1,Human-Entered
ACT-000083,PRO-000015,REP-000003,2026-05-04T17:02:09,Meeting,Outbound,1,Human-Entered
ACT-000084,PRO-000015,REP-000003,2026-07-30T19:11:43,Presentation,Outbound,0,Human-Entered
ACT-000085,PRO-000015,REP-000003,2026-05-07T11:58:35,Tour,Outbound,1,Human-Entered
ACT-000086,PRO-000015,REP-000003,2026-06-07T15:58:43,Email,Outbound,1,System-Observed
ACT-000087,PRO-000016,REP-000004,2026-07-05T10:58:40,Tour,Outbound,1,Human-Entered
ACT-000088,PRO-000016,REP-000001,2026-06-03T13:17:50,Presentation,Outbound,0,Human-Entered
ACT-000089,PRO-000016,REP-000004,2026-05-31T07:13:57,Lunch,Outbound,1,Human-Entered
ACT-000090,PRO-000017,REP-000004,2026-06-05T13:06:48,Lunch,Outbound,1,Human-Entered
ACT-000091,PRO-000017,REP-000004,2026-07-02T20:21:49,Email,Outbound,1,System-Observed
ACT-000092,PRO-000017,REP-000003,2026-07-17T13:52:46,Meeting,Outbound,0,Human-Entered
ACT-000093,PRO-000017,REP-000004,2026-06-24T20:47:29,Meeting,Outbound,0,Human-Entered
ACT-000094,PRO-000018,REP-000003,2026-05-15T14:17:34,Email,Outbound,1,System-Observed
ACT-000095,PRO-000018,REP-000003,2026-07-29T10:41:41,Tour,Inbound,1,Human-Entered
ACT-000096,PRO-000018,REP-000003,2026-07-18T14:31:04,Presentation,Outbound,1,Human-Entered
ACT-000097,PRO-000018,REP-000004,2026-05-29T16:03:53,Call,Outbound,1,Human-Entered
ACT-000098,PRO-000018,REP-000003,2026-07-15T15:11:03,Presentation,Outbound,0,Human-Entered
ACT-000099,PRO-000019,REP-000001,2026-06-30T07:23:34,Call,Outbound,0,Human-Entered
ACT-000100,PRO-000019,REP-000001,2026-06-01T18:44:18,Lunch,Outbound,1,Human-Entered
ACT-000101,PRO-000019,REP-000001,2026-05-26T08:17:27,Presentation,Inbound,1,Human-Entered
ACT-000102,PRO-000019,REP-000001,2026-06-15T20:33:17,Email,Outbound,1,System-Observed
ACT-000103,PRO-000019,REP-000003,2026-05-04T15:37:11,Presentation,Inbound,1,Human-Entered
ACT-000104,PRO-000019,REP-000001,2026-05-31T19:47:41,Tour,Outbound,1,Human-Entered
ACT-000105,PRO-000019,REP-000001,2026-05-06T08:36:55,Email,Outbound,0,System-Observed
ACT-000106,PRO-000020,REP-000003,2026-06-25T12:54:37,Email,Outbound,1,System-Observed
ACT-000107,PRO-000020,REP-000004,2026-07-18T20:58:21,Meeting,Inbound,1,Human-Entered
ACT-000108,PRO-000020,REP-000004,2026-06-10T14:20:46,Call,Inbound,0,Human-Entered
ACT-000109,PRO-000020,REP-000002,2026-05-08T20:37:47,Email,Outbound,1,System-Observed
ACT-000110,PRO-000020,REP-000004,2026-07-22T14:11:57,Call,Outbound,0,Human-Entered
ACT-000111,PRO-000020,REP-000004,2026-07-02T10:28:09,Meeting,Outbound,0,Human-Entered
ACT-000112,PRO-000021,REP-000002,2026-05-10T13:18:25,Lunch,Outbound,1,Human-Entered
ACT-000113,PRO-000021,REP-000001,2026-06-10T20:22:09,Tour,Inbound,0,Human-Entered
ACT-000114,PRO-000021,REP-000002,2026-06-17T20:11:20,Tour,Inbound,0,Human-Entered
ACT-000115,PRO-000021,REP-000001,2026-05-25T12:00:26,Tour,Outbound,1,Human-Entered
ACT-000116,PRO-000021,REP-000001,2026-07-20T10:56:15,Lunch,Outbound,0,Human-Entered
ACT-000117,PRO-000021,REP-000001,2026-06-20T17:20:15,Lunch,Outbound,1,Human-Entered
ACT-000118,PRO-000022,REP-000001,2026-06-14T10:06:51,Meeting,Inbound,1,Human-Entered
ACT-000119,PRO-000022,REP-000001,2026-05-07T15:26:52,Meeting,Outbound,1,Human-Entered
ACT-000120,PRO-000022,REP-000001,2026-06-21T13:19:11,Email,Inbound,1,System-Observed
ACT-000121,PRO-000022,REP-000001,2026-05-25T07:08:28,Call,Inbound,0,Human-Entered
ACT-000122,PRO-000023,REP-000002,2026-06-21T11:43:49,Lunch,Outbound,1,Human-Entered
ACT-000123,PRO-000023,REP-000003,2026-05-12T18:55:49,Call,Outbound,1,Human-Entered
ACT-000124,PRO-000023,REP-000001,2026-07-26T16:06:43,Email,Outbound,1,System-Observed
ACT-000125,PRO-000024,REP-000001,2026-05-31T19:11:15,Call,Outbound,1,Human-Entered
ACT-000126,PRO-000024,REP-000001,2026-05-17T07:00:52,Tour,Inbound,1,Human-Entered
ACT-000127,PRO-000024,REP-000001,2026-07-11T10:38:00,Meeting,Outbound,1,Human-Entered
ACT-000128,PRO-000024,REP-000001,2026-06-02T14:02:16,Presentation,Outbound,0,Human-Entered
ACT-000129,PRO-000024,REP-000001,2026-05-21T14:09:34,Tour,Outbound,1,Human-Entered
ACT-000130,PRO-000025,REP-000004,2026-06-02T19:56:42,Presentation,Inbound,1,Human-Entered
ACT-000131,PRO-000025,REP-000004,2026-05-23T07:24:23,Meeting,Outbound,0,Human-Entered
ACT-000132,PRO-000025,REP-000004,2026-06-23T15:34:29,Meeting,Outbound,1,Human-Entered
ACT-000133,PRO-000025,REP-000004,2026-06-07T09:08:56,Presentation,Inbound,0,Human-Entered
ACT-000134,PRO-000025,REP-000004,2026-05-22T08:55:26,Presentation,Inbound,1,Human-Entered
ACT-000135,PRO-000025,REP-000004,2026-05-31T08:30:38,Call,Inbound,0,Human-Entered
ACT-000136,PRO-000025,REP-000004,2026-05-28T17:32:44,Presentation,Outbound,1,Human-Entered
ACT-000137,PRO-000025,REP-000004,2026-05-11T17:02:40,Call,Outbound,1,Human-Entered
ACT-000138,PRO-000025,REP-000004,2026-06-03T10:28:40,Meeting,Inbound,0,Human-Entered
ACT-000139,PRO-000026,REP-000004,2026-05-12T13:43:27,Presentation,Outbound,0,Human-Entered
ACT-000140,PRO-000026,REP-000004,2026-06-16T07:42:00,Meeting,Inbound,1,Human-Entered
ACT-000141,PRO-000026,REP-000004,2026-07-17T12:02:18,Lunch,Inbound,0,Human-Entered
ACT-000142,PRO-000026,REP-000003,2026-06-12T08:10:17,Email,Outbound,1,System-Observed
ACT-000143,PRO-000027,REP-000001,2026-07-27T08:46:23,Email,Outbound,1,System-Observed
ACT-000144,PRO-000027,REP-000001,2026-06-15T07:24:46,Meeting,Outbound,1,Human-Entered
ACT-000145,PRO-000027,REP-000001,2026-06-14T20:08:50,Email,Inbound,1,System-Observed
ACT-000146,PRO-000028,REP-000001,2026-07-24T20:27:13,Meeting,Inbound,1,Human-Entered
ACT-000147,PRO-000028,REP-000001,2026-07-04T14:06:58,Email,Outbound,0,System-Observed
ACT-000148,PRO-000028,REP-000001,2026-05-30T19:10:01,Meeting,Outbound,0,Human-Entered
ACT-000149,PRO-000028,REP-000004,2026-06-07T09:21:11,Tour,Inbound,1,Human-Entered
ACT-000150,PRO-000028,REP-000004,2026-07-31T11:21:45,Call,Outbound,0,Human-Entered
ACT-000151,PRO-000028,REP-000001,2026-06-15T08:27:31,Call,Inbound,0,Human-Entered
ACT-000152,PRO-000028,REP-000001,2026-07-15T11:13:59,Presentation,Inbound,0,Human-Entered
ACT-000153,PRO-000028,REP-000001,2026-06-29T08:21:26,Email,Inbound,0,System-Observed
ACT-000154,PRO-000029,REP-000002,2026-06-30T16:52:06,Call,Outbound,0,Human-Entered
ACT-000155,PRO-000029,REP-000002,2026-05-15T18:58:46,Presentation,Outbound,1,Human-Entered
ACT-000156,PRO-000029,REP-000002,2026-07-21T08:46:59,Presentation,Inbound,0,Human-Entered
ACT-000157,PRO-000029,REP-000002,2026-07-02T16:50:44,Call,Outbound,0,Human-Entered
ACT-000158,PRO-000029,REP-000002,2026-05-15T15:59:36,Meeting,Outbound,1,Human-Entered
ACT-000159,PRO-000029,REP-000002,2026-06-24T15:47:36,Lunch,Outbound,0,Human-Entered
ACT-000160,PRO-000029,REP-000002,2026-05-31T13:24:14,Tour,Outbound,1,Human-Entered
ACT-000161,PRO-000030,REP-000003,2026-05-16T20:32:14,Presentation,Outbound,1,Human-Entered
ACT-000162,PRO-000030,REP-000003,2026-07-05T19:33:11,Call,Inbound,0,Human-Entered
ACT-000163,PRO-000030,REP-000003,2026-07-13T15:26:03,Call,Inbound,0,Human-Entered
ACT-000164,PRO-000030,REP-000003,2026-06-08T13:28:38,Call,Inbound,0,Human-Entered
ACT-000165,PRO-000030,REP-000002,2026-06-03T12:17:40,Presentation,Inbound,1,Human-Entered
ACT-000166,PRO-000030,REP-000003,2026-07-13T15:52:02,Email,Outbound,1,System-Observed
ACT-000167,PRO-000030,REP-000003,2026-07-16T11:28:43,Call,Outbound,0,Human-Entered
ACT-000168,PRO-000031,REP-000004,2026-05-17T18:12:30,Email,Inbound,1,System-Observed
ACT-000169,PRO-000031,REP-000004,2026-07-18T18:44:47,Call,Outbound,0,Human-Entered
ACT-000170,PRO-000031,REP-000001,2026-07-11T08:59:35,Presentation,Outbound,1,Human-Entered
ACT-000171,PRO-000032,REP-000004,2026-05-12T16:04:49,Lunch,Outbound,1,Human-Entered
ACT-000172,PRO-000032,REP-000004,2026-05-13T12:19:24,Call,Outbound,0,Human-Entered
ACT-000173,PRO-000032,REP-000004,2026-07-14T16:55:34,Tour,Outbound,1,Human-Entered
ACT-000174,PRO-000032,REP-000004,2026-05-11T10:24:31,Presentation,Outbound,1,Human-Entered
ACT-000175,PRO-000032,REP-000004,2026-07-25T14:11:50,Meeting,Outbound,0,Human-Entered
ACT-000176,PRO-000032,REP-000004,2026-07-30T15:07:14,Call,Outbound,1,Human-Entered
ACT-000177,PRO-000032,REP-000004,2026-06-10T20:59:03,Presentation,Outbound,1,Human-Entered
ACT-000178,PRO-000033,REP-000001,2026-07-30T17:10:49,Lunch,Inbound,1,Human-Entered
ACT-000179,PRO-000033,REP-000001,2026-07-31T08:14:38,Meeting,Outbound,0,Human-Entered
ACT-000180,PRO-000033,REP-000003,2026-05-22T15:38:40,Meeting,Outbound,0,Human-Entered
ACT-000181,PRO-000034,REP-000001,2026-07-08T10:11:57,Email,Inbound,1,System-Observed
ACT-000182,PRO-000034,REP-000004,2026-05-11T08:01:01,Tour,Outbound,0,Human-Entered
ACT-000183,PRO-000034,REP-000001,2026-06-25T07:50:52,Email,Outbound,1,System-Observed
ACT-000184,PRO-000034,REP-000001,2026-05-08T15:04:58,Meeting,Outbound,1,Human-Entered
ACT-000185,PRO-000034,REP-000001,2026-06-07T14:43:10,Tour,Outbound,1,Human-Entered
ACT-000186,PRO-000034,REP-000001,2026-06-17T13:37:02,Meeting,Inbound,1,Human-Entered
ACT-000187,PRO-000034,REP-000001,2026-05-17T09:03:37,Tour,Outbound,1,Human-Entered
ACT-000188,PRO-000034,REP-000001,2026-07-06T20:51:56,Meeting,Outbound,1,Human-Entered
ACT-000189,PRO-000035,REP-000001,2026-05-20T20:53:51,Meeting,Outbound,1,Human-Entered
ACT-000190,PRO-000035,REP-000001,2026-07-27T12:54:57,Meeting,Inbound,1,Human-Entered
ACT-000191,PRO-000035,REP-000002,2026-07-06T19:21:55,Tour,Outbound,0,Human-Entered
ACT-000192,PRO-000035,REP-000001,2026-06-08T14:24:18,Presentation,Outbound,1,Human-Entered
ACT-000193,PRO-000035,REP-000001,2026-06-30T12:03:16,Lunch,Outbound,1,Human-Entered
ACT-000194,PRO-000035,REP-000001,2026-05-01T14:07:17,Meeting,Outbound,0,Human-Entered
ACT-000195,PRO-000035,REP-000001,2026-05-30T13:34:54,Call,Outbound,1,Human-Entered
ACT-000196,PRO-000035,REP-000001,2026-06-27T11:55:26,Call,Outbound,1,Human-Entered
ACT-000197,PRO-000036,REP-000004,2026-05-23T13:15:47,Meeting,Inbound,1,Human-Entered
ACT-000198,PRO-000036,REP-000004,2026-06-21T20:22:06,Presentation,Outbound,0,Human-Entered
ACT-000199,PRO-000036,REP-000004,2026-05-28T14:15:42,Presentation,Outbound,1,Human-Entered
ACT-000200,PRO-000036,REP-000004,2026-07-14T18:01:21,Presentation,Outbound,0,Human-Entered
ACT-000201,PRO-000036,REP-000004,2026-05-16T12:31:26,Email,Outbound,0,System-Observed
ACT-000202,PRO-000036,REP-000004,2026-07-28T14:50:47,Meeting,Outbound,1,Human-Entered
ACT-000203,PRO-000036,REP-000004,2026-05-15T09:38:55,Tour,Outbound,0,Human-Entered
ACT-000204,PRO-000036,REP-000004,2026-05-09T13:51:56,Meeting,Inbound,1,Human-Entered
ACT-000205,PRO-000037,REP-000003,2026-05-16T09:57:50,Call,Inbound,0,Human-Entered
ACT-000206,PRO-000037,REP-000004,2026-05-04T07:40:47,Email,Outbound,1,System-Observed
ACT-000207,PRO-000037,REP-000003,2026-06-16T15:03:59,Lunch,Inbound,0,Human-Entered
ACT-000208,PRO-000037,REP-000003,2026-07-27T14:00:26,Call,Outbound,0,Human-Entered
ACT-000209,PRO-000037,REP-000002,2026-05-07T10:28:46,Presentation,Outbound,1,Human-Entered
ACT-000210,PRO-000037,REP-000003,2026-07-07T15:41:40,Presentation,Inbound,1,Human-Entered
ACT-000211,PRO-000038,REP-000001,2026-05-24T09:40:48,Tour,Outbound,1,Human-Entered
ACT-000212,PRO-000038,REP-000001,2026-07-23T13:24:49,Meeting,Outbound,0,Human-Entered
ACT-000213,PRO-000038,REP-000001,2026-06-16T10:53:03,Email,Inbound,0,System-Observed
ACT-000214,PRO-000038,REP-000001,2026-07-14T10:19:09,Email,Outbound,1,System-Observed
ACT-000215,PRO-000038,REP-000004,2026-07-07T12:50:48,Presentation,Inbound,1,Human-Entered
ACT-000216,PRO-000038,REP-000001,2026-06-23T16:19:36,Lunch,Outbound,0,Human-Entered
ACT-000217,PRO-000039,REP-000003,2026-07-17T13:20:24,Call,Outbound,1,Human-Entered
ACT-000218,PRO-000039,REP-000003,2026-05-17T18:56:13,Presentation,Outbound,1,Human-Entered
ACT-000219,PRO-000039,REP-000003,2026-05-30T14:10:21,Lunch,Inbound,1,Human-Entered
ACT-000220,PRO-000039,REP-000004,2026-05-17T20:03:15,Meeting,Outbound,1,Human-Entered
ACT-000221,PRO-000040,REP-000003,2026-07-17T07:53:21,Tour,Inbound,0,Human-Entered
ACT-000222,PRO-000040,REP-000003,2026-05-05T11:42:06,Presentation,Outbound,0,Human-Entered
ACT-000223,PRO-000040,REP-000003,2026-07-02T15:44:12,Presentation,Inbound,0,Human-Entered
ACT-000224,PRO-000040,REP-000002,2026-06-14T19:44:05,Lunch,Outbound,1,Human-Entered
ACT-000225,PRO-000040,REP-000003,2026-06-27T11:35:53,Email,Outbound,1,System-Observed
