referral_id,professional_account_id,opportunity_id,referral_timestamp,referral_channel,source_system,evidence_class,attribution_confidence
REF-000025,PRO-000021,HRO-000092,2026-05-10T19:15:30,Patient Told to Call,CRM,Human-Entered,Possible
REF-000026,PRO-000037,HRO-000107,2026-05-27T17:03:48,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000027,PRO-000004,HRO-000110,2026-05-17T23:01:56,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000028,PRO-000018,HRO-000115,2026-05-14T21:36:16,Other,CRM,Human-Entered,Confirmed
REF-000029,PRO-000029,HRO-000125,2026-05-03T06:27:21,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000030,PRO-000034,HRO-000155,2026-05-04T17:40:33,Call,CRM,System-Observed,Confirmed
REF-000031,PRO-000032,HRO-000156,2026-05-03T21:06:13,Call,CRM,Human-Entered,Confirmed
REF-000032,PRO-000018,HRO-000157,2026-05-02T23:08:12,Email/Text Coordination,CRM,System-Observed,Probable
REF-000033,PRO-000025,HRO-000165,2026-05-21T09:19:08,Call,CRM,Human-Entered,Probable
REF-000034,PRO-000024,HRO-000175,2026-04-30T21:47:16,Email/Text Coordination,CRM,Human-Entered,Possible
REF-000035,PRO-000018,,2026-05-25T17:20:56,Patient Told to Call,CRM,System-Observed,Possible
REF-000036,PRO-000020,,2026-05-12T18:34:07,Call,CRM,Human-Entered,Probable
REF-000037,PRO-000008,,2026-05-06T15:25:40,Email/Text Coordination,CRM,Human-Entered,Possible
REF-000038,PRO-000011,,2026-06-08T07:45:45,Call,CRM,Human-Entered,Unmatched
REF-000039,PRO-000025,HRO-000190,2026-06-25T20:13:07,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000040,PRO-000034,HRO-000199,2026-06-08T22:50:49,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000041,PRO-000002,HRO-000209,2026-06-19T00:23:50,Call,CRM,Human-Entered,Confirmed
REF-000042,PRO-000021,HRO-000210,2026-06-09T11:36:20,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000043,PRO-000020,HRO-000213,2026-06-25T20:34:39,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000044,PRO-000035,HRO-000214,2026-06-14T16:40:30,Other,CRM,Human-Entered,Confirmed
REF-000045,PRO-000040,HRO-000229,2026-06-02T19:44:47,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000046,PRO-000034,HRO-000236,2026-06-24T01:34:27,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000047,PRO-000029,HRO-000241,2026-06-12T13:52:41,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000048,PRO-000020,HRO-000243,2026-06-21T02:29:27,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000049,PRO-000040,HRO-000246,2026-06-14T17:41:39,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000050,PRO-000009,HRO-000253,2026-06-02T07:39:27,Other,CRM,Human-Entered,Confirmed
REF-000051,PRO-000023,HRO-000255,2026-06-04T19:07:59,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000052,PRO-000035,HRO-000260,2026-06-19T12:31:14,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000053,PRO-000030,HRO-000262,2026-06-03T09:27:53,Email/Text Coordination,CRM,System-Observed,Probable
REF-000054,PRO-000003,HRO-000264,2026-06-06T11:20:49,Other,CRM,System-Observed,Confirmed
REF-000055,PRO-000013,HRO-000265,2026-06-04T18:07:33,Call,CRM,System-Observed,Confirmed
REF-000056,PRO-000007,HRO-000283,2026-06-01T20:55:45,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000057,PRO-000026,HRO-000289,2026-06-16T04:28:52,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000058,PRO-000020,HRO-000298,2026-06-02T08:11:52,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000059,PRO-000020,HRO-000303,2026-06-22T19:24:34,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000060,PRO-000026,HRO-000316,2026-06-01T13:27:25,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000061,PRO-000031,HRO-000324,2026-06-13T06:36:46,Other,CRM,System-Observed,Confirmed
REF-000062,PRO-000031,HRO-000339,2026-06-03T18:47:34,Other,CRM,System-Observed,Confirmed
REF-000063,PRO-000029,HRO-000340,2026-06-16T16:05:20,Email/Text Coordination,CRM,Human-Entered,Possible
REF-000064,PRO-000024,HRO-000347,2026-06-07T21:33:50,Other,CRM,Human-Entered,Confirmed
REF-000065,PRO-000034,,2026-05-04T12:55:45,Call,CRM,Human-Entered,Possible
REF-000066,PRO-000023,,2026-05-18T17:40:01,Other,CRM,System-Observed,Possible
REF-000067,PRO-000028,,2026-06-30T15:53:46,Other,CRM,System-Observed,Probable
REF-000068,PRO-000033,HRO-000351,2026-07-05T06:40:21,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000069,PRO-000016,HRO-000369,2026-07-07T02:50:28,Call,CRM,Human-Entered,Confirmed
REF-000070,PRO-000009,HRO-000371,2026-07-14T18:08:24,Call,CRM,System-Observed,Confirmed
REF-000071,PRO-000008,HRO-000380,2026-07-11T05:28:23,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000072,PRO-000016,HRO-000387,2026-07-22T10:27:34,Patient Told to Call,CRM,Human-Entered,Possible
REF-000073,PRO-000007,HRO-000395,2026-06-30T08:01:46,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000074,PRO-000034,HRO-000408,2026-07-12T16:27:19,Call,CRM,Human-Entered,Confirmed
REF-000075,PRO-000009,HRO-000410,2026-07-06T06:06:20,Call,CRM,Human-Entered,Confirmed
REF-000076,PRO-000032,HRO-000412,2026-06-30T05:45:50,Patient Told to Call,CRM,System-Observed,Probable
REF-000077,PRO-000011,HRO-000413,2026-07-04T11:58:21,Call,CRM,Human-Entered,Confirmed
REF-000078,PRO-000002,HRO-000415,2026-07-27T07:45:03,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000079,PRO-000034,HRO-000418,2026-07-09T14:25:43,Call,CRM,Human-Entered,Confirmed
REF-000080,PRO-000033,HRO-000424,2026-07-16T15:49:37,Other,CRM,System-Observed,Possible
REF-000081,PRO-000005,HRO-000427,2026-07-19T10:51:20,Call,CRM,Human-Entered,Confirmed
REF-000082,PRO-000007,HRO-000432,2026-07-16T04:11:01,Patient Told to Call,CRM,Human-Entered,Probable
REF-000083,PRO-000013,HRO-000434,2026-07-01T00:09:35,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000084,PRO-000008,HRO-000442,2026-07-05T14:45:59,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000085,PRO-000028,HRO-000444,2026-07-08T22:37:57,Other,CRM,System-Observed,Probable
REF-000086,PRO-000023,HRO-000445,2026-07-07T07:32:30,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000087,PRO-000034,HRO-000447,2026-07-09T00:19:03,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000088,PRO-000021,HRO-000451,2026-07-12T01:45:27,Other,CRM,Human-Entered,Confirmed
REF-000089,PRO-000026,HRO-000452,2026-07-10T19:40:52,Call,CRM,System-Observed,Confirmed
REF-000090,PRO-000016,HRO-000453,2026-07-13T16:23:08,Other,CRM,Human-Entered,Probable
REF-000091,PRO-000007,HRO-000454,2026-07-24T18:00:24,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000092,PRO-000010,HRO-000455,2026-07-15T22:50:11,Patient Told to Call,CRM,Human-Entered,Probable
REF-000093,PRO-000024,HRO-000464,2026-07-04T02:36:17,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000094,PRO-000027,HRO-000474,2026-07-05T12:49:55,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000095,PRO-000004,HRO-000477,2026-07-03T00:26:51,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000096,PRO-000021,HRO-000482,2026-06-29T19:17:13,Other,CRM,Human-Entered,Confirmed
REF-000097,PRO-000030,HRO-000489,2026-07-03T09:29:45,Call,CRM,Human-Entered,Probable
REF-000098,PRO-000020,HRO-000491,2026-07-07T09:46:37,Other,CRM,Human-Entered,Possible
REF-000099,PRO-000018,HRO-000496,2026-07-04T18:32:17,Other,CRM,Human-Entered,Confirmed
REF-000100,PRO-000040,HRO-000499,2026-07-01T15:12:36,Call,CRM,Human-Entered,Confirmed
REF-000101,PRO-000029,HRO-000501,2026-07-14T19:06:14,Other,CRM,Human-Entered,Possible
REF-000102,PRO-000010,HRO-000509,2026-07-25T20:16:28,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000103,PRO-000040,,2026-06-02T13:23:22,Patient Told to Call,CRM,Human-Entered,Possible
REF-000104,PRO-000031,,2026-07-01T19:39:51,Patient Told to Call,CRM,System-Observed,Unmatched
REF-000105,PRO-000037,,2026-07-28T10:46:45,Patient Told to Call,CRM,Human-Entered,Possible
REF-000106,PRO-000040,,2026-07-11T16:28:19,Call,CRM,Human-Entered,Possible
