referral_id,professional_account_id,opportunity_id,referral_timestamp,referral_channel,source_system,evidence_class,attribution_confidence
REF-000031,PRO-000017,HRO-000153,2026-05-11T07:59:09,Other,CRM,System-Observed,Confirmed
REF-000032,PRO-000004,HRO-000157,2026-05-11T11:45:39,Other,CRM,Human-Entered,Probable
REF-000033,PRO-000001,HRO-000158,2026-05-11T00:39:35,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000034,PRO-000017,HRO-000168,2026-05-01T07:18:15,Other,CRM,Human-Entered,Probable
REF-000035,PRO-000003,,2026-07-23T20:11:08,Call,CRM,Human-Entered,Possible
REF-000036,PRO-000015,,2026-06-01T18:26:34,Other,CRM,System-Observed,Probable
REF-000037,PRO-000033,,2026-05-29T08:49:40,Call,CRM,System-Observed,Unmatched
REF-000038,PRO-000031,,2026-07-07T12:21:13,Patient Told to Call,CRM,Human-Entered,Possible
REF-000039,PRO-000001,HRO-000179,2026-06-23T05:47:13,Other,CRM,Human-Entered,Confirmed
REF-000040,PRO-000003,HRO-000180,2026-06-19T03:56:16,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000041,PRO-000026,HRO-000186,2026-06-02T16:39:44,Other,CRM,Human-Entered,Confirmed
REF-000042,PRO-000007,HRO-000187,2026-06-06T13:28:20,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000043,PRO-000003,HRO-000188,2026-06-11T23:09:14,Call,CRM,System-Observed,Probable
REF-000044,PRO-000019,HRO-000200,2026-06-15T13:59:39,Patient Told to Call,CRM,System-Observed,Probable
REF-000045,PRO-000025,HRO-000202,2026-06-02T14:24:03,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000046,PRO-000027,HRO-000203,2026-06-16T04:28:41,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000047,PRO-000027,HRO-000206,2026-06-04T13:04:17,Other,CRM,Human-Entered,Probable
REF-000048,PRO-000006,HRO-000213,2026-06-03T12:19:43,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000049,PRO-000033,HRO-000214,2026-06-04T16:27:06,Other,CRM,Human-Entered,Confirmed
REF-000050,PRO-000011,HRO-000218,2026-06-15T17:08:12,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000051,PRO-000015,HRO-000219,2026-06-12T01:30:33,Email/Text Coordination,CRM,System-Observed,Probable
REF-000052,PRO-000028,HRO-000222,2026-06-13T14:58:33,Other,CRM,Human-Entered,Confirmed
REF-000053,PRO-000009,HRO-000227,2026-06-11T07:42:03,Call,CRM,Human-Entered,Probable
REF-000054,PRO-000030,HRO-000236,2026-06-06T21:23:11,Call,CRM,Human-Entered,Confirmed
REF-000055,PRO-000039,HRO-000244,2026-06-14T14:46:19,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000056,PRO-000007,HRO-000248,2026-06-03T18:19:21,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000057,PRO-000003,HRO-000253,2026-06-12T10:19:06,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000058,PRO-000026,HRO-000256,2026-06-15T09:19:47,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000059,PRO-000007,HRO-000261,2026-06-26T10:40:01,Call,CRM,Human-Entered,Confirmed
REF-000060,PRO-000027,HRO-000274,2026-06-09T10:03:02,Other,CRM,Human-Entered,Confirmed
REF-000061,PRO-000038,HRO-000284,2026-06-25T21:19:50,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000062,PRO-000015,HRO-000289,2026-06-08T11:23:36,Other,CRM,System-Observed,Confirmed
REF-000063,PRO-000035,HRO-000301,2026-06-20T10:59:49,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000064,PRO-000020,HRO-000307,2026-06-10T19:53:36,Other,CRM,Human-Entered,Confirmed
REF-000065,PRO-000033,HRO-000314,2026-06-25T20:43:51,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000066,PRO-000017,HRO-000326,2026-06-13T03:20:21,Call,CRM,Human-Entered,Confirmed
REF-000067,PRO-000009,HRO-000328,2026-06-15T16:05:35,Call,CRM,System-Observed,Confirmed
REF-000068,PRO-000004,HRO-000347,2026-06-25T13:45:10,Call,CRM,Human-Entered,Probable
REF-000069,PRO-000030,HRO-000349,2026-06-16T05:42:02,Other,CRM,Human-Entered,Confirmed
REF-000070,PRO-000001,HRO-000351,2026-06-08T08:11:29,Call,CRM,System-Observed,Confirmed
REF-000071,PRO-000017,,2026-05-01T14:08:07,Other,CRM,Human-Entered,Unmatched
REF-000072,PRO-000035,,2026-05-15T20:59:59,Call,CRM,System-Observed,Possible
REF-000073,PRO-000033,,2026-07-25T20:54:59,Other,CRM,System-Observed,Unmatched
REF-000074,PRO-000007,,2026-06-08T13:23:08,Other,CRM,Human-Entered,Unmatched
REF-000075,PRO-000035,HRO-000355,2026-07-09T06:08:00,Other,CRM,Human-Entered,Confirmed
REF-000076,PRO-000016,HRO-000357,2026-07-02T09:43:55,Call,CRM,Human-Entered,Confirmed
REF-000077,PRO-000011,HRO-000360,2026-07-03T23:15:28,Call,CRM,Human-Entered,Confirmed
REF-000078,PRO-000014,HRO-000362,2026-07-08T12:32:19,Call,CRM,Human-Entered,Confirmed
REF-000079,PRO-000003,HRO-000367,2026-07-25T05:33:25,Other,CRM,Human-Entered,Confirmed
REF-000080,PRO-000017,HRO-000373,2026-07-08T09:24:45,Other,CRM,Human-Entered,Probable
REF-000081,PRO-000014,HRO-000375,2026-07-13T17:31:14,Call,CRM,System-Observed,Confirmed
REF-000082,PRO-000025,HRO-000379,2026-07-06T11:06:14,Other,CRM,System-Observed,Confirmed
REF-000083,PRO-000030,HRO-000387,2026-07-01T22:51:15,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000084,PRO-000036,HRO-000388,2026-07-21T07:50:23,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000085,PRO-000039,HRO-000390,2026-07-11T00:28:32,Call,CRM,System-Observed,Possible
REF-000086,PRO-000038,HRO-000392,2026-07-13T20:50:02,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000087,PRO-000011,HRO-000397,2026-07-25T21:49:01,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000088,PRO-000028,HRO-000398,2026-07-14T05:14:42,Other,CRM,Human-Entered,Confirmed
REF-000089,PRO-000021,HRO-000399,2026-07-14T03:14:45,Call,CRM,Human-Entered,Confirmed
REF-000090,PRO-000019,HRO-000403,2026-07-09T20:35:36,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000091,PRO-000003,HRO-000419,2026-07-11T02:57:22,Other,CRM,System-Observed,Probable
REF-000092,PRO-000020,HRO-000422,2026-07-18T16:50:22,Call,CRM,Human-Entered,Confirmed
REF-000093,PRO-000034,HRO-000423,2026-07-21T21:12:59,Call,CRM,Human-Entered,Possible
REF-000094,PRO-000015,HRO-000428,2026-07-20T01:34:24,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000095,PRO-000020,HRO-000435,2026-07-09T22:53:46,Call,CRM,Human-Entered,Probable
REF-000096,PRO-000017,HRO-000440,2026-07-21T21:25:09,Call,CRM,Human-Entered,Probable
REF-000097,PRO-000015,HRO-000442,2026-06-30T14:06:21,Patient Told to Call,CRM,Human-Entered,Probable
REF-000098,PRO-000033,HRO-000455,2026-07-01T03:07:42,Email/Text Coordination,CRM,System-Observed,Possible
REF-000099,PRO-000027,HRO-000471,2026-07-15T08:46:18,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000100,PRO-000001,HRO-000484,2026-07-14T00:01:31,Call,CRM,Human-Entered,Confirmed
REF-000101,PRO-000011,HRO-000494,2026-07-22T09:43:14,Other,CRM,System-Observed,Confirmed
REF-000102,PRO-000019,HRO-000501,2026-07-21T02:10:00,Call,CRM,Human-Entered,Confirmed
REF-000103,PRO-000035,HRO-000511,2026-07-24T09:11:12,Call,CRM,System-Observed,Confirmed
REF-000104,PRO-000021,HRO-000514,2026-07-16T04:02:21,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000105,PRO-000034,HRO-000527,2026-07-06T17:11:55,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000106,PRO-000017,HRO-000530,2026-07-20T18:25:20,Call,CRM,System-Observed,Probable
REF-000107,PRO-000028,HRO-000533,2026-07-22T12:23:46,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000108,PRO-000036,HRO-000539,2026-07-03T13:53:45,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000109,PRO-000007,,2026-07-18T14:13:59,Call,CRM,Human-Entered,Unmatched
REF-000110,PRO-000006,,2026-06-10T16:39:08,Other,CRM,System-Observed,Possible
REF-000111,PRO-000019,,2026-06-26T16:16:31,Email/Text Coordination,CRM,Human-Entered,Possible
REF-000112,PRO-000004,,2026-07-26T20:27:37,Other,CRM,System-Observed,Probable
REF-000113,PRO-000002,HRO-000544,2026-05-06T09:00:34,Other,CRM,Human-Entered,Confirmed
REF-000114,PRO-000008,HRO-000545,2026-05-23T20:33:51,Other,CRM,System-Observed,Confirmed
REF-000115,PRO-000008,HRO-000546,2026-05-05T19:12:23,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000116,PRO-000012,HRO-000547,2026-05-03T17:39:49,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000117,PRO-000012,HRO-000548,2026-05-19T19:47:09,Other,CRM,System-Observed,Confirmed
REF-000118,PRO-000013,HRO-000549,2026-05-13T11:50:42,Email/Text Coordination,CRM,System-Observed,Probable
REF-000119,PRO-000022,HRO-000550,2026-05-03T11:05:43,Call,CRM,System-Observed,Confirmed
REF-000120,PRO-000022,HRO-000551,2026-05-10T19:11:58,Other,CRM,System-Observed,Confirmed
REF-000121,PRO-000023,HRO-000552,2026-05-04T11:04:02,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000122,PRO-000023,HRO-000553,2026-05-28T10:22:19,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000123,PRO-000023,HRO-000554,2026-05-05T09:44:05,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000124,PRO-000023,HRO-000555,2026-05-25T11:13:15,Call,CRM,System-Observed,Possible
REF-000125,PRO-000024,HRO-000556,2026-05-31T15:44:05,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000126,PRO-000024,HRO-000557,2026-05-10T20:27:57,Call,CRM,Human-Entered,Confirmed
REF-000127,PRO-000037,HRO-000558,2026-05-23T09:13:15,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000128,PRO-000002,HRO-000559,2026-06-08T07:06:26,Patient Told to Call,CRM,Human-Entered,Probable
REF-000129,PRO-000005,HRO-000560,2026-06-20T20:53:56,Call,CRM,Human-Entered,Confirmed
REF-000130,PRO-000012,HRO-000561,2026-06-17T15:36:31,Other,CRM,System-Observed,Confirmed
REF-000131,PRO-000013,HRO-000562,2026-06-26T08:41:13,Other,CRM,Human-Entered,Confirmed
REF-000132,PRO-000018,HRO-000563,2026-06-09T10:16:14,Other,CRM,Human-Entered,Confirmed
REF-000133,PRO-000018,HRO-000564,2026-06-02T11:25:46,Other,CRM,Human-Entered,Confirmed
REF-000134,PRO-000022,,2026-06-01T08:37:54,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000135,PRO-000023,HRO-000565,2026-06-04T19:39:01,Call,CRM,Human-Entered,Confirmed
REF-000136,PRO-000023,HRO-000566,2026-06-13T13:51:52,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000137,PRO-000023,HRO-000567,2026-06-06T19:06:17,Other,CRM,Human-Entered,Confirmed
REF-000138,PRO-000023,,2026-06-30T14:18:55,Other,CRM,Human-Entered,Probable
REF-000139,PRO-000024,HRO-000568,2026-06-01T20:30:44,Call,CRM,Human-Entered,Probable
REF-000140,PRO-000024,HRO-000569,2026-06-08T16:45:34,Other,CRM,Human-Entered,Probable
REF-000141,PRO-000032,,2026-06-06T17:52:43,Other,CRM,Human-Entered,Confirmed
REF-000142,PRO-000032,HRO-000570,2026-06-15T13:47:58,Other,CRM,System-Observed,Confirmed
REF-000143,PRO-000032,HRO-000571,2026-06-10T14:40:19,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000144,PRO-000032,,2026-06-16T17:30:50,Patient Told to Call,CRM,Human-Entered,Probable
REF-000145,PRO-000005,HRO-000572,2026-07-21T17:29:17,Other,CRM,System-Observed,Confirmed
REF-000146,PRO-000005,,2026-07-30T15:10:17,Other,CRM,System-Observed,Confirmed
REF-000147,PRO-000005,HRO-000573,2026-07-10T09:21:36,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000148,PRO-000005,HRO-000574,2026-07-25T16:01:11,Patient Told to Call,CRM,Human-Entered,Probable
REF-000149,PRO-000008,HRO-000575,2026-07-03T16:49:28,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000150,PRO-000012,HRO-000576,2026-07-30T09:45:47,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000151,PRO-000013,HRO-000577,2026-07-04T20:47:07,Patient Told to Call,CRM,Human-Entered,Probable
REF-000152,PRO-000018,HRO-000578,2026-07-07T12:56:17,Other,CRM,System-Observed,Confirmed
REF-000153,PRO-000018,,2026-07-20T17:15:18,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000154,PRO-000032,HRO-000579,2026-07-09T08:25:43,Call,CRM,Human-Entered,Confirmed
REF-000155,PRO-000032,HRO-000580,2026-07-13T15:16:50,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000156,PRO-000037,HRO-000581,2026-07-14T12:45:08,Other,CRM,Human-Entered,Confirmed
REF-000157,PRO-000037,,2026-07-13T13:19:09,Call,CRM,Human-Entered,Confirmed
REF-000158,PRO-000037,HRO-000582,2026-07-27T14:17:42,Email/Text Coordination,CRM,System-Observed,Confirmed
