referral_id,professional_account_id,opportunity_id,referral_timestamp,referral_channel,source_system,evidence_class,attribution_confidence
REF-000037,PRO-000016,HRO-000180,2026-06-09T19:16:04,Other,CRM,Human-Entered,Confirmed
REF-000038,PRO-000006,HRO-000181,2026-06-06T09:43:26,Call,CRM,Human-Entered,Probable
REF-000039,PRO-000003,HRO-000185,2026-06-22T17:43:01,Other,CRM,System-Observed,Confirmed
REF-000040,PRO-000032,HRO-000190,2026-06-11T05:46:32,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000041,PRO-000040,HRO-000192,2026-06-02T05:03:24,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000042,PRO-000028,HRO-000196,2026-06-07T00:35:21,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000043,PRO-000038,HRO-000198,2026-06-02T15:28:28,Call,CRM,Human-Entered,Probable
REF-000044,PRO-000011,HRO-000206,2026-06-09T04:59:34,Patient Told to Call,CRM,System-Observed,Probable
REF-000045,PRO-000030,HRO-000215,2026-06-01T21:43:26,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000046,PRO-000022,HRO-000220,2026-06-13T04:32:11,Call,CRM,System-Observed,Confirmed
REF-000047,PRO-000016,HRO-000222,2026-06-03T21:15:59,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000048,PRO-000030,HRO-000223,2026-06-06T21:56:28,Other,CRM,System-Observed,Confirmed
REF-000049,PRO-000008,HRO-000224,2026-06-05T13:49:36,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000050,PRO-000005,HRO-000231,2026-06-21T09:18:52,Other,CRM,Human-Entered,Confirmed
REF-000051,PRO-000038,HRO-000234,2026-06-07T15:31:40,Patient Told to Call,CRM,Human-Entered,Probable
REF-000052,PRO-000012,HRO-000243,2026-06-09T01:50:32,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000053,PRO-000012,HRO-000248,2026-06-08T16:46:43,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000054,PRO-000027,HRO-000251,2026-06-11T22:49:58,Other,CRM,System-Observed,Confirmed
REF-000055,PRO-000016,HRO-000252,2026-06-22T21:10:57,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000056,PRO-000013,HRO-000255,2026-06-10T05:46:54,Call,CRM,Human-Entered,Confirmed
REF-000057,PRO-000012,HRO-000267,2026-06-11T23:38:15,Other,CRM,System-Observed,Possible
REF-000058,PRO-000003,HRO-000273,2026-06-10T18:46:17,Other,CRM,Human-Entered,Confirmed
REF-000059,PRO-000003,HRO-000279,2026-06-17T19:12:00,Other,CRM,Human-Entered,Confirmed
REF-000060,PRO-000003,HRO-000294,2026-06-15T17:17:52,Other,CRM,System-Observed,Confirmed
REF-000061,PRO-000035,HRO-000297,2026-06-17T21:55:22,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000062,PRO-000030,HRO-000305,2026-06-04T02:30:47,Other,CRM,System-Observed,Confirmed
REF-000063,PRO-000034,HRO-000311,2026-06-15T07:43:55,Other,CRM,System-Observed,Confirmed
REF-000064,PRO-000020,HRO-000312,2026-06-18T15:45:07,Call,CRM,Human-Entered,Confirmed
REF-000065,PRO-000002,HRO-000317,2026-06-03T15:05:51,Other,CRM,Human-Entered,Confirmed
REF-000066,PRO-000009,HRO-000319,2026-05-31T10:43:25,Other,CRM,Human-Entered,Confirmed
REF-000067,PRO-000040,HRO-000320,2026-06-19T00:54:04,Call,CRM,Human-Entered,Probable
REF-000068,PRO-000032,HRO-000322,2026-06-25T22:29:19,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000069,PRO-000019,HRO-000324,2026-06-13T15:17:09,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000070,PRO-000010,HRO-000326,2026-06-10T00:17:41,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000071,PRO-000007,HRO-000328,2026-06-09T21:44:38,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000072,PRO-000037,HRO-000334,2026-06-09T08:47:21,Call,CRM,Human-Entered,Confirmed
REF-000073,PRO-000031,HRO-000338,2026-06-02T12:13:43,Call,CRM,Human-Entered,Probable
REF-000074,PRO-000017,HRO-000341,2026-06-22T13:40:57,Other,CRM,Human-Entered,Confirmed
REF-000075,PRO-000027,HRO-000343,2026-06-08T10:53:06,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000076,PRO-000005,HRO-000350,2026-06-05T11:56:44,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000077,PRO-000012,HRO-000352,2026-06-25T21:05:41,Patient Told to Call,CRM,Human-Entered,Possible
REF-000078,PRO-000003,HRO-000360,2026-06-21T01:53:54,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000079,PRO-000003,HRO-000361,2026-06-20T09:36:17,Other,CRM,Human-Entered,Confirmed
REF-000080,PRO-000040,,2026-06-27T15:06:42,Patient Told to Call,CRM,Human-Entered,Possible
REF-000081,PRO-000018,,2026-07-15T09:41:37,Call,CRM,Human-Entered,Unmatched
REF-000082,PRO-000039,,2026-07-01T07:44:25,Call,CRM,Human-Entered,Unmatched
REF-000083,PRO-000037,,2026-06-07T20:14:44,Call,CRM,Human-Entered,Probable
REF-000084,PRO-000005,,2026-06-30T18:08:55,Patient Told to Call,CRM,Human-Entered,Possible
REF-000085,PRO-000016,HRO-000367,2026-07-17T11:43:51,Other,CRM,Human-Entered,Confirmed
REF-000086,PRO-000040,HRO-000383,2026-07-12T14:13:30,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000087,PRO-000024,HRO-000384,2026-07-23T00:26:23,Call,CRM,Human-Entered,Probable
REF-000088,PRO-000008,HRO-000387,2026-07-10T08:16:37,Call,CRM,Human-Entered,Confirmed
REF-000089,PRO-000016,HRO-000390,2026-07-04T11:24:32,Patient Told to Call,CRM,Human-Entered,Probable
REF-000090,PRO-000020,HRO-000391,2026-07-10T21:04:21,Other,CRM,Human-Entered,Confirmed
REF-000091,PRO-000037,HRO-000394,2026-07-28T10:51:07,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000092,PRO-000018,HRO-000421,2026-07-18T22:20:18,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000093,PRO-000007,HRO-000431,2026-07-03T02:43:44,Call,CRM,Human-Entered,Confirmed
REF-000094,PRO-000004,HRO-000439,2026-07-15T22:04:39,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000095,PRO-000006,HRO-000447,2026-07-02T16:11:21,Email/Text Coordination,CRM,Human-Entered,Possible
REF-000096,PRO-000013,HRO-000450,2026-06-30T17:24:34,Call,CRM,Human-Entered,Confirmed
REF-000097,PRO-000040,HRO-000458,2026-07-20T13:42:38,Call,CRM,System-Observed,Confirmed
REF-000098,PRO-000011,HRO-000460,2026-07-11T12:03:06,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000099,PRO-000004,HRO-000461,2026-07-15T03:52:52,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000100,PRO-000026,HRO-000467,2026-07-08T15:29:11,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000101,PRO-000035,HRO-000474,2026-07-11T09:26:02,Other,CRM,Human-Entered,Confirmed
REF-000102,PRO-000016,HRO-000476,2026-06-30T14:45:12,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000103,PRO-000008,HRO-000484,2026-07-04T08:01:47,Call,CRM,System-Observed,Probable
REF-000104,PRO-000036,HRO-000500,2026-07-19T00:53:34,Call,CRM,Human-Entered,Confirmed
REF-000105,PRO-000040,HRO-000504,2026-07-20T18:54:10,Other,CRM,Human-Entered,Confirmed
REF-000106,PRO-000029,HRO-000517,2026-07-08T03:06:39,Call,CRM,Human-Entered,Confirmed
REF-000107,PRO-000028,HRO-000518,2026-07-20T01:07:34,Call,CRM,Human-Entered,Confirmed
REF-000108,PRO-000018,HRO-000521,2026-07-17T14:55:51,Other,CRM,Human-Entered,Confirmed
REF-000109,PRO-000012,HRO-000528,2026-07-19T12:10:16,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000110,PRO-000027,,2026-06-09T08:48:55,Other,CRM,Human-Entered,Possible
REF-000111,PRO-000030,,2026-06-19T18:17:53,Email/Text Coordination,CRM,System-Observed,Possible
REF-000112,PRO-000019,,2026-07-21T18:28:31,Email/Text Coordination,CRM,System-Observed,Possible
