activity_id,professional_account_id,outreach_rep_id,activity_timestamp,activity_type,direction,reciprocated_flag,evidence_class
ACT-000049,PRO-000008,REP-000004,2026-07-03T09:52:29,Lunch,Outbound,1,Human-Entered
ACT-000050,PRO-000008,REP-000004,2026-05-15T20:28:37,Email,Outbound,1,System-Observed
ACT-000051,PRO-000008,REP-000004,2026-06-21T11:51:23,Tour,Outbound,1,Human-Entered
ACT-000052,PRO-000009,REP-000004,2026-05-22T13:11:35,Presentation,Outbound,1,Human-Entered
ACT-000053,PRO-000009,REP-000002,2026-06-19T07:36:07,Lunch,Inbound,1,Human-Entered
ACT-000054,PRO-000009,REP-000002,2026-07-07T08:39:59,Presentation,Outbound,0,Human-Entered
ACT-000055,PRO-000009,REP-000002,2026-07-05T09:20:58,Meeting,Outbound,1,Human-Entered
ACT-000056,PRO-000009,REP-000003,2026-07-20T11:47:46,Meeting,Outbound,1,Human-Entered
ACT-000057,PRO-000009,REP-000002,2026-07-03T18:02:01,Call,Outbound,0,Human-Entered
ACT-000058,PRO-000009,REP-000002,2026-05-29T13:25:38,Email,Outbound,0,System-Observed
ACT-000059,PRO-000010,REP-000001,2026-06-12T18:45:13,Tour,Outbound,1,Human-Entered
ACT-000060,PRO-000010,REP-000003,2026-07-06T12:09:24,Call,Outbound,1,Human-Entered
ACT-000061,PRO-000010,REP-000001,2026-05-22T15:43:34,Presentation,Outbound,0,Human-Entered
ACT-000062,PRO-000010,REP-000003,2026-05-04T10:54:27,Call,Inbound,0,Human-Entered
ACT-000063,PRO-000011,REP-000003,2026-07-12T09:22:04,Meeting,Outbound,1,Human-Entered
ACT-000064,PRO-000011,REP-000003,2026-05-27T10:39:06,Lunch,Outbound,1,Human-Entered
ACT-000065,PRO-000011,REP-000003,2026-05-15T16:42:16,Tour,Inbound,1,Human-Entered
ACT-000066,PRO-000011,REP-000003,2026-06-15T18:38:46,Presentation,Outbound,1,Human-Entered
ACT-000067,PRO-000011,REP-000003,2026-05-14T15:19:42,Lunch,Outbound,1,Human-Entered
ACT-000068,PRO-000011,REP-000003,2026-06-25T17:08:37,Tour,Inbound,0,Human-Entered
ACT-000069,PRO-000011,REP-000003,2026-05-10T17:48:55,Tour,Outbound,0,Human-Entered
ACT-000070,PRO-000011,REP-000001,2026-07-25T18:41:52,Lunch,Outbound,1,Human-Entered
ACT-000071,PRO-000011,REP-000003,2026-06-14T08:02:24,Tour,Outbound,0,Human-Entered
ACT-000072,PRO-000011,REP-000004,2026-05-07T16:09:53,Meeting,Outbound,1,Human-Entered
ACT-000073,PRO-000012,REP-000004,2026-07-17T16:42:00,Email,Outbound,1,System-Observed
ACT-000074,PRO-000012,REP-000004,2026-05-26T11:01:49,Email,Outbound,0,System-Observed
ACT-000075,PRO-000012,REP-000004,2026-05-02T17:32:08,Tour,Inbound,0,Human-Entered
ACT-000076,PRO-000013,REP-000003,2026-07-24T18:52:53,Lunch,Inbound,0,Human-Entered
ACT-000077,PRO-000013,REP-000002,2026-07-12T07:51:47,Meeting,Inbound,0,Human-Entered
ACT-000078,PRO-000013,REP-000003,2026-06-04T15:17:51,Meeting,Outbound,1,Human-Entered
ACT-000079,PRO-000013,REP-000003,2026-06-17T20:50:39,Lunch,Outbound,0,Human-Entered
ACT-000080,PRO-000014,REP-000002,2026-05-02T07:25:03,Presentation,Outbound,0,Human-Entered
ACT-000081,PRO-000014,REP-000002,2026-07-08T12:30:04,Email,Outbound,1,System-Observed
ACT-000082,PRO-000014,REP-000002,2026-05-13T13:17:12,Lunch,Outbound,0,Human-Entered
ACT-000083,PRO-000014,REP-000002,2026-05-01T14:35:49,Presentation,Outbound,1,Human-Entered
ACT-000084,PRO-000014,REP-000002,2026-07-25T15:43:32,Call,Outbound,1,Human-Entered
ACT-000085,PRO-000014,REP-000002,2026-07-14T19:18:26,Email,Outbound,0,System-Observed
ACT-000086,PRO-000014,REP-000002,2026-05-28T16:22:10,Call,Outbound,1,Human-Entered
ACT-000087,PRO-000014,REP-000002,2026-06-01T16:46:30,Tour,Outbound,0,Human-Entered
ACT-000088,PRO-000015,REP-000004,2026-07-30T17:06:54,Call,Outbound,1,Human-Entered
ACT-000089,PRO-000015,REP-000004,2026-05-12T12:27:36,Lunch,Outbound,1,Human-Entered
ACT-000090,PRO-000015,REP-000004,2026-05-28T16:02:33,Email,Inbound,1,System-Observed
ACT-000091,PRO-000015,REP-000004,2026-06-29T17:47:35,Email,Inbound,0,System-Observed
ACT-000092,PRO-000015,REP-000004,2026-06-14T19:08:04,Presentation,Outbound,1,Human-Entered
ACT-000093,PRO-000016,REP-000002,2026-07-14T15:28:41,Presentation,Inbound,1,Human-Entered
ACT-000094,PRO-000016,REP-000002,2026-05-10T12:46:46,Email,Outbound,1,System-Observed
ACT-000095,PRO-000016,REP-000002,2026-05-27T16:31:30,Call,Outbound,0,Human-Entered
ACT-000096,PRO-000017,REP-000002,2026-05-15T08:39:30,Tour,Inbound,0,Human-Entered
ACT-000097,PRO-000017,REP-000002,2026-06-21T13:16:19,Presentation,Outbound,1,Human-Entered
ACT-000098,PRO-000017,REP-000002,2026-05-21T17:00:09,Meeting,Outbound,1,Human-Entered
ACT-000099,PRO-000017,REP-000002,2026-06-02T11:50:01,Call,Outbound,1,Human-Entered
ACT-000100,PRO-000017,REP-000002,2026-05-19T18:05:06,Meeting,Outbound,1,Human-Entered
ACT-000101,PRO-000018,REP-000001,2026-05-21T10:18:44,Call,Outbound,0,Human-Entered
ACT-000102,PRO-000018,REP-000003,2026-05-26T16:16:01,Tour,Inbound,1,Human-Entered
ACT-000103,PRO-000018,REP-000001,2026-07-09T10:03:57,Meeting,Outbound,1,Human-Entered
ACT-000104,PRO-000018,REP-000001,2026-06-13T16:14:37,Lunch,Outbound,0,Human-Entered
ACT-000105,PRO-000018,REP-000001,2026-05-05T13:20:01,Lunch,Outbound,1,Human-Entered
ACT-000106,PRO-000018,REP-000003,2026-07-01T14:46:41,Presentation,Inbound,1,Human-Entered
ACT-000107,PRO-000018,REP-000001,2026-06-13T13:17:50,Email,Outbound,1,System-Observed
ACT-000108,PRO-000019,REP-000003,2026-06-26T08:17:21,Tour,Outbound,0,Human-Entered
ACT-000109,PRO-000019,REP-000003,2026-07-01T20:10:16,Email,Inbound,1,System-Observed
ACT-000110,PRO-000019,REP-000003,2026-07-13T19:26:14,Presentation,Inbound,1,Human-Entered
ACT-000111,PRO-000019,REP-000003,2026-05-04T19:49:03,Email,Outbound,0,System-Observed
ACT-000112,PRO-000019,REP-000003,2026-05-24T11:16:50,Tour,Outbound,1,Human-Entered
ACT-000113,PRO-000019,REP-000003,2026-06-15T10:19:33,Presentation,Outbound,1,Human-Entered
ACT-000114,PRO-000019,REP-000003,2026-05-10T16:03:30,Meeting,Outbound,0,Human-Entered
ACT-000115,PRO-000020,REP-000003,2026-07-10T14:16:46,Presentation,Outbound,1,Human-Entered
ACT-000116,PRO-000020,REP-000004,2026-05-26T18:25:35,Lunch,Inbound,1,Human-Entered
ACT-000117,PRO-000020,REP-000004,2026-07-13T19:55:17,Meeting,Outbound,1,Human-Entered
ACT-000118,PRO-000020,REP-000004,2026-05-20T19:50:43,Lunch,Outbound,1,Human-Entered
ACT-000119,PRO-000020,REP-000004,2026-07-08T15:27:04,Lunch,Outbound,0,Human-Entered
ACT-000120,PRO-000020,REP-000004,2026-07-17T17:57:21,Presentation,Outbound,1,Human-Entered
ACT-000121,PRO-000020,REP-000004,2026-06-28T12:42:58,Tour,Inbound,1,Human-Entered
ACT-000122,PRO-000020,REP-000004,2026-07-04T11:54:24,Lunch,Outbound,0,Human-Entered
ACT-000123,PRO-000020,REP-000004,2026-06-29T13:50:41,Lunch,Outbound,0,Human-Entered
ACT-000124,PRO-000020,REP-000004,2026-07-16T18:12:17,Presentation,Outbound,1,Human-Entered
ACT-000125,PRO-000021,REP-000002,2026-07-15T10:31:58,Tour,Outbound,1,Human-Entered
ACT-000126,PRO-000021,REP-000002,2026-06-28T18:21:35,Tour,Outbound,1,Human-Entered
ACT-000127,PRO-000021,REP-000002,2026-06-06T14:23:33,Tour,Inbound,0,Human-Entered
ACT-000128,PRO-000021,REP-000002,2026-06-23T09:17:20,Presentation,Inbound,0,Human-Entered
ACT-000129,PRO-000021,REP-000004,2026-07-26T08:18:56,Presentation,Outbound,1,Human-Entered
ACT-000130,PRO-000021,REP-000002,2026-07-29T14:17:50,Lunch,Inbound,0,Human-Entered
ACT-000131,PRO-000021,REP-000002,2026-06-25T20:13:49,Call,Outbound,1,Human-Entered
ACT-000132,PRO-000022,REP-000001,2026-05-15T15:18:57,Email,Outbound,1,System-Observed
ACT-000133,PRO-000022,REP-000001,2026-07-08T17:57:25,Lunch,Inbound,1,Human-Entered
ACT-000134,PRO-000022,REP-000001,2026-05-08T13:44:33,Tour,Inbound,0,Human-Entered
ACT-000135,PRO-000022,REP-000001,2026-06-14T13:28:16,Lunch,Outbound,0,Human-Entered
ACT-000136,PRO-000022,REP-000001,2026-05-25T15:08:43,Call,Outbound,1,Human-Entered
ACT-000137,PRO-000023,REP-000003,2026-07-29T13:40:46,Call,Outbound,1,Human-Entered
ACT-000138,PRO-000023,REP-000003,2026-05-09T20:48:15,Lunch,Inbound,1,Human-Entered
ACT-000139,PRO-000023,REP-000003,2026-05-16T18:55:26,Presentation,Outbound,1,Human-Entered
ACT-000140,PRO-000023,REP-000003,2026-07-31T16:12:54,Lunch,Outbound,1,Human-Entered
ACT-000141,PRO-000023,REP-000003,2026-06-13T09:47:45,Presentation,Outbound,1,Human-Entered
ACT-000142,PRO-000023,REP-000003,2026-06-10T17:30:22,Email,Outbound,0,System-Observed
ACT-000143,PRO-000023,REP-000003,2026-07-22T19:52:47,Meeting,Outbound,1,Human-Entered
ACT-000144,PRO-000023,REP-000003,2026-06-04T11:31:32,Call,Outbound,1,Human-Entered
ACT-000145,PRO-000024,REP-000002,2026-06-29T15:51:05,Meeting,Outbound,1,Human-Entered
ACT-000146,PRO-000024,REP-000001,2026-07-12T17:07:17,Email,Outbound,0,System-Observed
ACT-000147,PRO-000024,REP-000002,2026-07-02T10:45:50,Email,Outbound,0,System-Observed
ACT-000148,PRO-000024,REP-000002,2026-06-05T20:41:48,Email,Outbound,0,System-Observed
ACT-000149,PRO-000024,REP-000002,2026-07-24T10:29:07,Lunch,Outbound,1,Human-Entered
ACT-000150,PRO-000024,REP-000002,2026-07-17T13:20:51,Presentation,Outbound,0,Human-Entered
ACT-000151,PRO-000024,REP-000002,2026-07-17T11:44:17,Lunch,Outbound,0,Human-Entered
ACT-000152,PRO-000024,REP-000002,2026-05-15T14:23:55,Lunch,Outbound,1,Human-Entered
ACT-000153,PRO-000024,REP-000002,2026-05-03T17:06:42,Tour,Outbound,1,Human-Entered
ACT-000154,PRO-000024,REP-000003,2026-07-29T11:13:06,Call,Inbound,1,Human-Entered
ACT-000155,PRO-000025,REP-000003,2026-05-09T17:02:17,Tour,Outbound,1,Human-Entered
ACT-000156,PRO-000025,REP-000002,2026-07-03T09:39:02,Meeting,Inbound,1,Human-Entered
ACT-000157,PRO-000025,REP-000001,2026-06-12T17:20:56,Email,Outbound,1,System-Observed
ACT-000158,PRO-000025,REP-000001,2026-06-30T11:59:27,Meeting,Outbound,1,Human-Entered
ACT-000159,PRO-000025,REP-000003,2026-06-11T07:16:48,Presentation,Outbound,1,Human-Entered
ACT-000160,PRO-000025,REP-000004,2026-07-13T16:56:42,Presentation,Outbound,0,Human-Entered
ACT-000161,PRO-000025,REP-000001,2026-07-10T20:12:54,Call,Outbound,1,Human-Entered
ACT-000162,PRO-000025,REP-000001,2026-07-15T17:24:11,Lunch,Inbound,1,Human-Entered
ACT-000163,PRO-000025,REP-000001,2026-05-27T17:27:48,Call,Outbound,0,Human-Entered
ACT-000164,PRO-000026,REP-000003,2026-07-07T13:48:36,Lunch,Outbound,1,Human-Entered
ACT-000165,PRO-000026,REP-000003,2026-07-16T08:59:11,Lunch,Inbound,1,Human-Entered
ACT-000166,PRO-000026,REP-000004,2026-06-09T17:33:52,Presentation,Inbound,1,Human-Entered
ACT-000167,PRO-000026,REP-000003,2026-07-07T14:29:50,Email,Inbound,1,System-Observed
ACT-000168,PRO-000026,REP-000003,2026-05-04T08:33:21,Lunch,Outbound,1,Human-Entered
ACT-000169,PRO-000027,REP-000001,2026-06-08T15:03:51,Email,Outbound,1,System-Observed
ACT-000170,PRO-000027,REP-000001,2026-07-20T15:36:57,Email,Outbound,1,System-Observed
ACT-000171,PRO-000027,REP-000002,2026-07-12T15:26:26,Lunch,Outbound,1,Human-Entered
ACT-000172,PRO-000027,REP-000001,2026-07-11T14:01:03,Tour,Inbound,1,Human-Entered
ACT-000173,PRO-000027,REP-000001,2026-05-05T10:01:53,Meeting,Inbound,1,Human-Entered
ACT-000174,PRO-000027,REP-000003,2026-07-05T07:51:41,Presentation,Inbound,1,Human-Entered
ACT-000175,PRO-000027,REP-000001,2026-07-11T11:56:12,Meeting,Outbound,1,Human-Entered
ACT-000176,PRO-000028,REP-000002,2026-05-27T08:36:07,Presentation,Outbound,1,Human-Entered
ACT-000177,PRO-000028,REP-000002,2026-05-21T08:13:05,Lunch,Outbound,1,Human-Entered
ACT-000178,PRO-000028,REP-000002,2026-05-30T08:48:06,Email,Inbound,1,System-Observed
ACT-000179,PRO-000028,REP-000003,2026-05-09T08:59:45,Presentation,Outbound,1,Human-Entered
ACT-000180,PRO-000028,REP-000002,2026-05-14T12:25:28,Tour,Inbound,1,Human-Entered
ACT-000181,PRO-000028,REP-000002,2026-07-08T08:33:39,Presentation,Outbound,1,Human-Entered
ACT-000182,PRO-000028,REP-000002,2026-07-25T07:52:20,Email,Outbound,0,System-Observed
ACT-000183,PRO-000029,REP-000004,2026-06-17T10:05:49,Meeting,Outbound,1,Human-Entered
ACT-000184,PRO-000029,REP-000004,2026-06-21T07:21:51,Call,Outbound,0,Human-Entered
ACT-000185,PRO-000029,REP-000004,2026-07-12T19:19:22,Email,Inbound,1,System-Observed
ACT-000186,PRO-000029,REP-000004,2026-07-18T08:30:59,Meeting,Inbound,1,Human-Entered
ACT-000187,PRO-000029,REP-000004,2026-05-12T08:02:16,Lunch,Outbound,1,Human-Entered
ACT-000188,PRO-000030,REP-000003,2026-05-21T16:51:03,Email,Outbound,1,System-Observed
ACT-000189,PRO-000030,REP-000004,2026-07-28T20:33:47,Lunch,Outbound,0,Human-Entered
ACT-000190,PRO-000030,REP-000004,2026-05-09T18:51:07,Call,Outbound,0,Human-Entered
ACT-000191,PRO-000030,REP-000004,2026-05-22T10:10:38,Email,Outbound,1,System-Observed
ACT-000192,PRO-000030,REP-000003,2026-05-23T16:40:57,Meeting,Inbound,1,Human-Entered
ACT-000193,PRO-000030,REP-000004,2026-06-16T12:29:05,Tour,Outbound,1,Human-Entered
ACT-000194,PRO-000030,REP-000004,2026-07-01T10:08:38,Meeting,Inbound,1,Human-Entered
ACT-000195,PRO-000031,REP-000002,2026-05-07T20:49:27,Call,Outbound,1,Human-Entered
ACT-000196,PRO-000031,REP-000002,2026-07-05T12:48:52,Lunch,Inbound,1,Human-Entered
ACT-000197,PRO-000031,REP-000002,2026-07-17T14:11:18,Call,Outbound,0,Human-Entered
ACT-000198,PRO-000031,REP-000002,2026-06-14T08:20:13,Presentation,Outbound,0,Human-Entered
ACT-000199,PRO-000031,REP-000003,2026-05-05T20:41:59,Email,Inbound,1,System-Observed
ACT-000200,PRO-000031,REP-000002,2026-06-11T19:36:53,Meeting,Outbound,1,Human-Entered
ACT-000201,PRO-000031,REP-000002,2026-07-28T12:27:10,Lunch,Outbound,1,Human-Entered
ACT-000202,PRO-000031,REP-000002,2026-07-18T16:34:14,Call,Outbound,0,Human-Entered
ACT-000203,PRO-000031,REP-000002,2026-07-12T07:02:41,Call,Inbound,1,Human-Entered
ACT-000204,PRO-000031,REP-000002,2026-05-11T10:13:05,Presentation,Inbound,1,Human-Entered
ACT-000205,PRO-000032,REP-000003,2026-07-08T19:37:29,Tour,Outbound,1,Human-Entered
ACT-000206,PRO-000032,REP-000003,2026-06-03T15:40:30,Lunch,Outbound,1,Human-Entered
ACT-000207,PRO-000032,REP-000003,2026-07-03T20:52:57,Email,Outbound,1,System-Observed
ACT-000208,PRO-000033,REP-000001,2026-06-12T07:23:42,Tour,Outbound,1,Human-Entered
ACT-000209,PRO-000033,REP-000001,2026-07-17T08:43:45,Email,Outbound,1,System-Observed
ACT-000210,PRO-000033,REP-000001,2026-06-22T13:20:36,Call,Outbound,0,Human-Entered
ACT-000211,PRO-000033,REP-000001,2026-05-10T11:55:46,Meeting,Outbound,1,Human-Entered
ACT-000212,PRO-000033,REP-000001,2026-06-30T14:53:53,Lunch,Outbound,1,Human-Entered
ACT-000213,PRO-000034,REP-000003,2026-06-04T08:47:34,Lunch,Outbound,0,Human-Entered
ACT-000214,PRO-000034,REP-000003,2026-07-02T15:24:48,Call,Outbound,0,Human-Entered
ACT-000215,PRO-000034,REP-000003,2026-06-15T13:51:02,Email,Outbound,0,System-Observed
ACT-000216,PRO-000034,REP-000002,2026-06-12T19:08:57,Email,Inbound,0,System-Observed
ACT-000217,PRO-000034,REP-000003,2026-06-09T18:51:26,Tour,Outbound,1,Human-Entered
ACT-000218,PRO-000034,REP-000003,2026-07-01T19:25:56,Presentation,Inbound,0,Human-Entered
ACT-000219,PRO-000035,REP-000004,2026-07-26T17:37:05,Lunch,Outbound,1,Human-Entered
ACT-000220,PRO-000035,REP-000004,2026-06-01T16:33:23,Meeting,Outbound,1,Human-Entered
ACT-000221,PRO-000035,REP-000004,2026-06-06T18:34:02,Email,Outbound,1,System-Observed
ACT-000222,PRO-000035,REP-000004,2026-06-29T15:52:31,Meeting,Outbound,1,Human-Entered
ACT-000223,PRO-000035,REP-000004,2026-07-21T10:22:44,Tour,Outbound,1,Human-Entered
ACT-000224,PRO-000035,REP-000004,2026-05-16T18:21:28,Lunch,Outbound,0,Human-Entered
ACT-000225,PRO-000036,REP-000004,2026-07-06T12:23:26,Presentation,Inbound,1,Human-Entered
ACT-000226,PRO-000036,REP-000004,2026-07-14T19:59:39,Presentation,Outbound,0,Human-Entered
ACT-000227,PRO-000036,REP-000004,2026-05-29T12:51:09,Meeting,Outbound,1,Human-Entered
ACT-000228,PRO-000036,REP-000004,2026-07-15T12:22:31,Email,Inbound,0,System-Observed
ACT-000229,PRO-000036,REP-000001,2026-05-14T12:55:17,Call,Outbound,1,Human-Entered
ACT-000230,PRO-000036,REP-000004,2026-06-11T17:39:47,Lunch,Outbound,1,Human-Entered
ACT-000231,PRO-000036,REP-000004,2026-05-02T16:20:10,Email,Outbound,1,System-Observed
ACT-000232,PRO-000036,REP-000003,2026-05-24T16:04:08,Lunch,Outbound,1,Human-Entered
ACT-000233,PRO-000036,REP-000004,2026-05-30T12:11:30,Call,Inbound,1,Human-Entered
ACT-000234,PRO-000036,REP-000001,2026-06-09T18:48:43,Email,Inbound,0,System-Observed
ACT-000235,PRO-000037,REP-000002,2026-07-09T16:29:21,Email,Inbound,0,System-Observed
ACT-000236,PRO-000037,REP-000002,2026-06-19T07:08:07,Email,Outbound,1,System-Observed
ACT-000237,PRO-000037,REP-000002,2026-05-03T11:24:20,Presentation,Inbound,0,Human-Entered
ACT-000238,PRO-000037,REP-000002,2026-06-02T18:33:39,Lunch,Outbound,1,Human-Entered
ACT-000239,PRO-000037,REP-000002,2026-06-11T15:20:35,Lunch,Outbound,0,Human-Entered
ACT-000240,PRO-000037,REP-000004,2026-05-02T07:05:12,Meeting,Outbound,1,Human-Entered
ACT-000241,PRO-000037,REP-000002,2026-05-30T13:17:33,Call,Inbound,1,Human-Entered
ACT-000242,PRO-000037,REP-000002,2026-05-09T15:23:08,Meeting,Inbound,1,Human-Entered
ACT-000243,PRO-000037,REP-000001,2026-05-23T17:07:58,Meeting,Outbound,1,Human-Entered
ACT-000244,PRO-000038,REP-000003,2026-05-12T20:13:39,Call,Outbound,1,Human-Entered
ACT-000245,PRO-000038,REP-000003,2026-07-22T12:27:09,Email,Outbound,1,System-Observed
ACT-000246,PRO-000038,REP-000003,2026-07-07T19:22:07,Call,Outbound,1,Human-Entered
ACT-000247,PRO-000039,REP-000002,2026-06-07T13:44:47,Lunch,Outbound,1,Human-Entered
ACT-000248,PRO-000039,REP-000001,2026-05-23T16:15:34,Call,Outbound,1,Human-Entered
ACT-000249,PRO-000039,REP-000001,2026-05-08T07:29:32,Email,Inbound,0,System-Observed
ACT-000250,PRO-000040,REP-000003,2026-07-29T18:45:28,Presentation,Outbound,1,Human-Entered
ACT-000251,PRO-000040,REP-000004,2026-07-08T09:03:42,Tour,Inbound,1,Human-Entered
ACT-000252,PRO-000040,REP-000003,2026-05-10T15:38:40,Call,Outbound,0,Human-Entered
ACT-000253,PRO-000040,REP-000003,2026-05-13T08:15:30,Call,Outbound,0,Human-Entered
ACT-000254,PRO-000040,REP-000003,2026-06-11T17:31:51,Email,Outbound,1,System-Observed
ACT-000255,PRO-000040,REP-000003,2026-07-30T08:52:06,Tour,Outbound,1,Human-Entered
ACT-000256,PRO-000040,REP-000003,2026-07-26T19:28:53,Meeting,Outbound,1,Human-Entered
