touch_id,inquiry_id,touch_timestamp,channel,platform,campaign_id,campaign_name,ad_group,keyword,search_term,match_type,landing_page,geography,cost,platform_conversion,source_system,evidence_class
TOUCH-000020,INQ-000034,2026-05-10T11:09:00,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Admissions,substance abuse treatment options,substance abuse treatment options,Phrase,https://harborridge.example.test/admissions,OR,14.87,1,Google Ads,System-Observed
TOUCH-000021,INQ-000035,2026-05-22T08:56:37,Direct,,,,,,,,https://harborridge.example.test/,UT,,1,Direct / Analytics,System-Observed
TOUCH-000022,INQ-000036,2026-05-15T12:32:22,Local,GBP,,,,,,,https://harborridge.example.test/contact,CO,,1,GBP,System-Observed
TOUCH-000023,INQ-000037,2026-05-08T11:28:40,Local,GBP,,,,,,,https://harborridge.example.test/contact,FL,,1,GBP,System-Observed
TOUCH-000024,INQ-000038,2026-05-17T13:25:30,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,WA,,1,Google Organic,System-Observed
TOUCH-000025,INQ-000039,2026-05-17T15:00:34,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,OR,,1,Google Organic,System-Observed
TOUCH-000026,INQ-000040,2026-05-01T09:50:22,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,CO,,1,Google Organic,System-Observed
TOUCH-000027,INQ-000041,2026-05-22T18:42:38,Paid Search,Microsoft Ads,CMP-2001,Behavioral Health - Brand (Bing),Detox Programs,substance abuse treatment options,substance abuse treatment options,Exact,https://harborridge.example.test/admissions,FL,10.32,1,Microsoft Ads,System-Observed
TOUCH-000028,INQ-000042,2026-05-14T17:48:31,Direct,,,,,,,,https://harborridge.example.test/,CA,,1,Direct / Analytics,System-Observed
TOUCH-000029,INQ-000046,2026-05-19T12:28:36,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Residential Programs,substance abuse treatment options,substance abuse treatment options,Broad,https://harborridge.example.test/admissions,NY,43.35,1,Google Ads,System-Observed
TOUCH-000030,INQ-000047,2026-05-19T12:08:41,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Admissions,behavioral health treatment near me,behavioral health treatment near me,Exact,https://harborridge.example.test/admissions,NY,41.87,1,Google Ads,System-Observed
TOUCH-000031,INQ-000048,2026-05-22T12:59:02,Direct,,,,,,,,https://harborridge.example.test/,AZ,,1,Direct / Analytics,System-Observed
TOUCH-000032,INQ-000049,2026-05-24T10:31:35,Paid Search,Google Ads,CMP-1005,Family Crisis - Non-Brand,Family Support,family intervention help,family intervention help,Exact,https://harborridge.example.test/admissions,AZ,15.63,1,Google Ads,System-Observed
TOUCH-000033,INQ-000050,2026-05-17T09:02:59,Local,GBP,,,,,,,https://harborridge.example.test/contact,NY,,1,GBP,System-Observed
TOUCH-000034,INQ-000051,2026-05-15T09:49:05,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,NY,,1,Google Organic,System-Observed
TOUCH-000035,INQ-000052,2026-05-17T13:12:05,Local,GBP,,,,,,,https://harborridge.example.test/contact,FL,,1,GBP,System-Observed
TOUCH-000036,INQ-000053,2026-05-14T11:22:37,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,WA,,1,Google Organic,System-Observed
TOUCH-000037,INQ-000054,2026-05-03T17:10:29,Paid Search,Microsoft Ads,CMP-2002,Residential Treatment - Geo (Bing),Admissions,substance abuse treatment options,substance abuse treatment options,Exact,https://harborridge.example.test/admissions,OR,24.35,1,Microsoft Ads,System-Observed
TOUCH-000038,INQ-000055,2026-05-02T14:52:26,Paid Search,Google Ads,CMP-1005,Family Crisis - Non-Brand,Detox Programs,residential treatment center,residential treatment center,Phrase,https://harborridge.example.test/admissions,NY,22.69,1,Google Ads,System-Observed
TOUCH-000039,INQ-000056,2026-05-10T11:36:29,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,NV,,1,Google Organic,System-Observed
TOUCH-000040,INQ-000057,2026-05-26T07:42:32,Paid Search,Google Ads,CMP-1003,Detox Near Me - Geo,Detox Programs,substance abuse treatment options,substance abuse treatment options,Broad,https://harborridge.example.test/admissions,NV,40.63,1,Google Ads,System-Observed
TOUCH-000041,INQ-000060,2026-05-01T19:14:31,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Family Support,behavioral health treatment near me,behavioral health treatment near me,Phrase,https://harborridge.example.test/admissions,CO,24.19,1,Google Ads,System-Observed
TOUCH-000042,INQ-000062,2026-05-12T11:47:59,Direct,,,,,,,,https://harborridge.example.test/,CO,,1,Direct / Analytics,System-Observed
TOUCH-000043,INQ-000063,2026-05-13T09:44:00,Paid Search,Google Ads,CMP-1003,Detox Near Me - Geo,Family Support,behavioral health treatment near me,behavioral health treatment near me,Exact,https://harborridge.example.test/admissions,OR,18.6,1,Google Ads,System-Observed
TOUCH-000044,INQ-000064,2026-05-19T09:15:13,Paid Social,Meta,CMP-3001,Family Support Awareness,Family Support,,,,https://harborridge.example.test/family-support,TX,7.81,1,Meta,System-Observed
TOUCH-000045,INQ-000065,2026-05-02T12:40:16,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,CO,,1,Google Organic,System-Observed
TOUCH-000046,INQ-000066,2026-05-12T15:51:47,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,NY,,1,Google Organic,System-Observed
TOUCH-000047,INQ-000067,2026-05-01T09:10:35,Paid Search,Google Ads,CMP-1001,Behavioral Health - Brand,Admissions,residential treatment center,residential treatment center,Exact,https://harborridge.example.test/admissions,TX,30.81,1,Google Ads,System-Observed
TOUCH-000048,INQ-000069,2026-05-06T14:56:19,Paid Search,Microsoft Ads,CMP-2002,Residential Treatment - Geo (Bing),Family Support,residential treatment center,residential treatment center,Phrase,https://harborridge.example.test/admissions,FL,12.11,1,Microsoft Ads,System-Observed
TOUCH-000049,INQ-000070,2026-05-08T10:05:51,Paid Social,Meta,CMP-3001,Family Support Awareness,Family Support,,,,https://harborridge.example.test/family-support,WA,3.57,1,Meta,System-Observed
TOUCH-000050,INQ-000072,2026-05-02T09:20:31,Direct,,,,,,,,https://harborridge.example.test/,NV,,1,Direct / Analytics,System-Observed
TOUCH-000051,INQ-000074,2026-05-16T18:25:27,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Family Support,inpatient mental health treatment,inpatient mental health treatment,Broad,https://harborridge.example.test/admissions,FL,23.27,1,Google Ads,System-Observed
TOUCH-000052,INQ-000075,2026-05-12T16:55:35,Local,GBP,,,,,,,https://harborridge.example.test/contact,OR,,1,GBP,System-Observed
TOUCH-000053,INQ-000076,2026-05-17T20:18:41,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,WA,,1,Google Organic,System-Observed
TOUCH-000054,INQ-000077,2026-05-02T19:58:16,Local,GBP,,,,,,,https://harborridge.example.test/contact,CO,,1,GBP,System-Observed
TOUCH-000055,INQ-000078,2026-05-10T16:54:45,Paid Search,Google Ads,CMP-1001,Behavioral Health - Brand,Family Support,behavioral health treatment near me,behavioral health treatment near me,Broad,https://harborridge.example.test/admissions,OR,20.92,1,Google Ads,System-Observed
TOUCH-000056,INQ-000079,2026-05-04T14:46:43,Direct,,,,,,,,https://harborridge.example.test/,WA,,1,Direct / Analytics,System-Observed
TOUCH-000057,INQ-000081,2026-05-24T20:03:46,Local,GBP,,,,,,,https://harborridge.example.test/contact,UT,,1,GBP,System-Observed
TOUCH-000058,INQ-000082,2026-05-12T20:05:52,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Admissions,inpatient mental health treatment,inpatient mental health treatment,Phrase,https://harborridge.example.test/admissions,WA,15.08,1,Google Ads,System-Observed
TOUCH-000059,INQ-000083,2026-05-03T16:08:27,Paid Search,Microsoft Ads,CMP-2002,Residential Treatment - Geo (Bing),Family Support,family intervention help,family intervention help,Phrase,https://harborridge.example.test/admissions,CA,12.27,1,Microsoft Ads,System-Observed
TOUCH-000060,INQ-000084,2026-05-03T20:26:04,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,NY,,1,Google Organic,System-Observed
TOUCH-000061,INQ-000087,2026-05-20T12:10:43,Local,GBP,,,,,,,https://harborridge.example.test/contact,AZ,,1,GBP,System-Observed
TOUCH-000062,INQ-000088,2026-05-21T11:40:24,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Residential Programs,behavioral health treatment near me,behavioral health treatment near me,Exact,https://harborridge.example.test/admissions,UT,44.86,1,Google Ads,System-Observed
TOUCH-000063,INQ-000091,2026-05-21T12:25:20,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Family Support,inpatient mental health treatment,inpatient mental health treatment,Exact,https://harborridge.example.test/admissions,TX,38.09,1,Google Ads,System-Observed
TOUCH-000064,INQ-000092,2026-05-10T17:14:05,Paid Search,Microsoft Ads,CMP-2001,Behavioral Health - Brand (Bing),Residential Programs,family intervention help,family intervention help,Phrase,https://harborridge.example.test/admissions,CA,20.14,1,Microsoft Ads,System-Observed
TOUCH-000065,INQ-000094,2026-05-01T06:44:13,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Family Support,detox center near me,detox center near me,Exact,https://harborridge.example.test/admissions,UT,27.65,1,Google Ads,System-Observed
TOUCH-000066,INQ-000095,2026-05-06T08:27:29,Paid Social,Meta,CMP-3001,Family Support Awareness,Family Support,,,,https://harborridge.example.test/family-support,NY,3.21,1,Meta,System-Observed
TOUCH-000067,INQ-000096,2026-05-07T10:37:27,Paid Social,Meta,CMP-3003,Local Community Awareness,Family Support,,,,https://harborridge.example.test/family-support,WA,3.43,1,Meta,System-Observed
TOUCH-000068,INQ-000102,2026-05-27T09:35:01,Direct,,,,,,,,https://harborridge.example.test/,NY,,1,Direct / Analytics,System-Observed
TOUCH-000069,INQ-000105,2026-05-28T17:27:37,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,WA,,1,Google Organic,System-Observed
TOUCH-000070,INQ-000106,2026-05-18T16:12:45,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,CO,,1,Google Organic,System-Observed
TOUCH-000071,INQ-000107,2026-05-06T07:57:43,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,AZ,,1,Google Organic,System-Observed
TOUCH-000072,INQ-000108,2026-05-24T12:20:21,Paid Search,Google Ads,CMP-1003,Detox Near Me - Geo,Detox Programs,substance abuse treatment options,substance abuse treatment options,Exact,https://harborridge.example.test/admissions,OR,16.16,1,Google Ads,System-Observed
TOUCH-000073,INQ-000109,2026-05-23T08:56:58,Direct,,,,,,,,https://harborridge.example.test/,CA,,1,Direct / Analytics,System-Observed
TOUCH-000074,INQ-000111,2026-05-03T10:38:19,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Detox Programs,family intervention help,family intervention help,Broad,https://harborridge.example.test/admissions,TX,31.3,1,Google Ads,System-Observed
TOUCH-000075,INQ-000112,2026-05-16T17:47:03,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,CA,,1,Google Organic,System-Observed
TOUCH-000076,INQ-000113,2026-05-09T17:46:43,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,CA,,1,Google Organic,System-Observed
TOUCH-000077,INQ-000114,2026-05-12T07:04:06,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Residential Programs,residential treatment center,residential treatment center,Broad,https://harborridge.example.test/admissions,AZ,37.95,1,Google Ads,System-Observed
TOUCH-000078,INQ-000115,2026-05-11T17:21:21,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,UT,,1,Google Organic,System-Observed
TOUCH-000079,INQ-000116,2026-05-12T15:16:56,Paid Search,Google Ads,CMP-1003,Detox Near Me - Geo,Residential Programs,detox center near me,detox center near me,Broad,https://harborridge.example.test/admissions,TX,15.81,1,Google Ads,System-Observed
TOUCH-000080,INQ-000117,2026-05-02T12:29:58,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Admissions,family intervention help,family intervention help,Broad,https://harborridge.example.test/admissions,UT,17.95,1,Google Ads,System-Observed
TOUCH-000081,INQ-000118,2026-05-23T13:36:44,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Detox Programs,behavioral health treatment near me,behavioral health treatment near me,Phrase,https://harborridge.example.test/admissions,TX,35.7,1,Google Ads,System-Observed
TOUCH-000082,INQ-000120,2026-05-16T10:58:43,Paid Search,Google Ads,CMP-1001,Behavioral Health - Brand,Detox Programs,family intervention help,family intervention help,Exact,https://harborridge.example.test/admissions,OR,42.79,1,Google Ads,System-Observed
TOUCH-000083,INQ-000121,2026-05-06T10:19:25,Local,GBP,,,,,,,https://harborridge.example.test/contact,OR,,1,GBP,System-Observed
TOUCH-000084,INQ-000122,2026-05-01T17:38:56,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,AZ,,1,Google Organic,System-Observed
TOUCH-000085,INQ-000123,2026-05-07T09:12:36,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,OR,,1,Google Organic,System-Observed
TOUCH-000086,INQ-000125,2026-05-13T12:05:54,Local,GBP,,,,,,,https://harborridge.example.test/contact,FL,,1,GBP,System-Observed
TOUCH-000087,INQ-000126,2026-05-16T18:23:12,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,OR,,1,Google Organic,System-Observed
TOUCH-000088,INQ-000129,2026-05-12T06:54:29,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,CO,,1,Google Organic,System-Observed
TOUCH-000089,INQ-000130,2026-05-18T17:05:42,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,CO,,1,Google Organic,System-Observed
TOUCH-000090,INQ-000132,2026-05-14T19:55:01,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,AZ,,1,Google Organic,System-Observed
TOUCH-000091,INQ-000134,2026-05-16T16:54:28,Paid Search,Google Ads,CMP-1001,Behavioral Health - Brand,Admissions,substance abuse treatment options,substance abuse treatment options,Exact,https://harborridge.example.test/admissions,CA,22.57,1,Google Ads,System-Observed
TOUCH-000092,INQ-000135,2026-05-20T06:46:46,Local,GBP,,,,,,,https://harborridge.example.test/contact,WA,,1,GBP,System-Observed
TOUCH-000093,INQ-000136,2026-05-12T18:24:33,Local,GBP,,,,,,,https://harborridge.example.test/contact,CO,,1,GBP,System-Observed
TOUCH-000094,INQ-000138,2026-05-22T17:58:04,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Admissions,family intervention help,family intervention help,Broad,https://harborridge.example.test/admissions,UT,31.85,1,Google Ads,System-Observed
TOUCH-000095,INQ-000139,2026-05-13T09:47:06,Paid Search,Google Ads,CMP-1005,Family Crisis - Non-Brand,Residential Programs,detox center near me,detox center near me,Exact,https://harborridge.example.test/admissions,FL,34.44,1,Google Ads,System-Observed
TOUCH-000096,INQ-000141,2026-05-18T12:51:37,Paid Social,Meta,CMP-3002,Recovery Journey - Lookalike,Community Awareness,,,,https://harborridge.example.test/family-support,NY,4.97,1,Meta,System-Observed
TOUCH-000097,INQ-000142,2026-05-02T13:15:47,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,UT,,1,Google Organic,System-Observed
TOUCH-000098,INQ-000144,2026-05-27T12:59:18,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,AZ,,1,Google Organic,System-Observed
TOUCH-000099,INQ-000146,2026-05-23T16:36:17,Local,GBP,,,,,,,https://harborridge.example.test/contact,AZ,,1,GBP,System-Observed
TOUCH-000100,INQ-000149,2026-05-25T11:56:25,Local,GBP,,,,,,,https://harborridge.example.test/contact,TX,,1,GBP,System-Observed
TOUCH-000101,INQ-000150,2026-05-03T19:18:16,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Detox Programs,behavioral health treatment near me,behavioral health treatment near me,Broad,https://harborridge.example.test/admissions,NY,31.15,1,Google Ads,System-Observed
TOUCH-000102,INQ-000151,2026-05-08T09:12:10,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,WA,,1,Google Organic,System-Observed
TOUCH-000103,INQ-000152,2026-05-15T15:45:58,Local,GBP,,,,,,,https://harborridge.example.test/contact,OR,,1,GBP,System-Observed
TOUCH-000104,INQ-000153,2026-05-02T16:30:49,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,WA,,1,Google Organic,System-Observed
TOUCH-000105,INQ-000154,2026-05-01T08:43:56,Direct,,,,,,,,https://harborridge.example.test/,OR,,1,Direct / Analytics,System-Observed
TOUCH-000106,INQ-000155,2026-05-17T11:59:23,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Admissions,behavioral health treatment near me,behavioral health treatment near me,Broad,https://harborridge.example.test/admissions,CO,26.53,1,Google Ads,System-Observed
TOUCH-000107,INQ-000157,2026-05-12T13:25:29,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,NY,,1,Google Organic,System-Observed
TOUCH-000108,INQ-000159,2026-05-26T17:47:18,Paid Search,Microsoft Ads,CMP-2001,Behavioral Health - Brand (Bing),Family Support,detox center near me,detox center near me,Broad,https://harborridge.example.test/admissions,UT,29.62,1,Microsoft Ads,System-Observed
TOUCH-000109,INQ-000160,2026-05-03T08:57:47,Paid Search,Google Ads,CMP-1001,Behavioral Health - Brand,Admissions,residential treatment center,residential treatment center,Phrase,https://harborridge.example.test/admissions,AZ,34.22,1,Google Ads,System-Observed
TOUCH-000110,INQ-000161,2026-05-17T16:36:22,Direct,,,,,,,,https://harborridge.example.test/,AZ,,1,Direct / Analytics,System-Observed
TOUCH-000111,INQ-000162,2026-05-10T10:10:29,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Residential Programs,residential treatment center,residential treatment center,Phrase,https://harborridge.example.test/admissions,OR,30.21,1,Google Ads,System-Observed
TOUCH-000112,INQ-000163,2026-05-16T15:21:46,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,AZ,,1,Google Organic,System-Observed
TOUCH-000113,INQ-000164,2026-05-26T07:33:19,Paid Social,Meta,CMP-3001,Family Support Awareness,Community Awareness,,,,https://harborridge.example.test/family-support,CA,6.59,1,Meta,System-Observed
TOUCH-000114,INQ-000166,2026-05-13T12:37:10,Direct,,,,,,,,https://harborridge.example.test/,TX,,1,Direct / Analytics,System-Observed
TOUCH-000115,INQ-000167,2026-05-07T13:53:46,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Family Support,behavioral health treatment near me,behavioral health treatment near me,Broad,https://harborridge.example.test/admissions,CO,20.91,1,Google Ads,System-Observed
TOUCH-000116,INQ-000169,2026-05-16T06:37:19,Paid Search,Google Ads,CMP-1001,Behavioral Health - Brand,Family Support,residential treatment center,residential treatment center,Phrase,https://harborridge.example.test/admissions,CO,37.86,1,Google Ads,System-Observed
TOUCH-000117,INQ-000170,2026-05-26T13:54:35,Direct,,,,,,,,https://harborridge.example.test/,AZ,,1,Direct / Analytics,System-Observed
TOUCH-000118,INQ-000171,2026-05-13T17:14:47,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,NY,,1,Google Organic,System-Observed
TOUCH-000119,INQ-000173,2026-05-19T14:22:10,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Family Support,behavioral health treatment near me,behavioral health treatment near me,Phrase,https://harborridge.example.test/admissions,FL,19.17,1,Google Ads,System-Observed
TOUCH-000120,INQ-000175,2026-05-22T18:37:34,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,CA,,1,Google Organic,System-Observed
TOUCH-000121,INQ-000176,2026-05-04T09:26:10,Paid Search,Microsoft Ads,CMP-2001,Behavioral Health - Brand (Bing),Detox Programs,substance abuse treatment options,substance abuse treatment options,Phrase,https://harborridge.example.test/admissions,FL,29.15,1,Microsoft Ads,System-Observed
TOUCH-000122,INQ-000177,2026-05-06T09:52:19,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,WA,,1,Google Organic,System-Observed
TOUCH-000123,INQ-000178,2026-05-22T15:36:41,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Admissions,detox center near me,detox center near me,Broad,https://harborridge.example.test/admissions,FL,29.4,1,Google Ads,System-Observed
TOUCH-000124,INQ-000180,2026-05-07T12:51:31,Paid Social,Meta,CMP-3002,Recovery Journey - Lookalike,Family Support,,,,https://harborridge.example.test/family-support,FL,9.66,1,Meta,System-Observed
TOUCH-000125,INQ-000181,2026-05-11T18:04:55,Paid Search,Microsoft Ads,CMP-2002,Residential Treatment - Geo (Bing),Residential Programs,residential treatment center,residential treatment center,Phrase,https://harborridge.example.test/admissions,NV,18.93,1,Microsoft Ads,System-Observed
TOUCH-000126,INQ-000182,2026-05-15T14:17:34,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Admissions,family intervention help,family intervention help,Broad,https://harborridge.example.test/admissions,CA,30.41,1,Google Ads,System-Observed
TOUCH-000127,INQ-000183,2026-05-09T11:44:15,Direct,,,,,,,,https://harborridge.example.test/,WA,,1,Direct / Analytics,System-Observed
TOUCH-000128,INQ-000184,2026-05-19T16:35:29,Paid Search,Microsoft Ads,CMP-2001,Behavioral Health - Brand (Bing),Family Support,behavioral health treatment near me,behavioral health treatment near me,Exact,https://harborridge.example.test/admissions,OR,22.05,1,Microsoft Ads,System-Observed
TOUCH-000129,INQ-000185,2026-05-25T10:01:12,Direct,,,,,,,,https://harborridge.example.test/,OR,,1,Direct / Analytics,System-Observed
TOUCH-000130,INQ-000186,2026-05-21T15:33:22,Paid Search,Microsoft Ads,CMP-2002,Residential Treatment - Geo (Bing),Residential Programs,family intervention help,family intervention help,Broad,https://harborridge.example.test/admissions,OR,24.03,1,Microsoft Ads,System-Observed
TOUCH-000131,INQ-000187,2026-05-16T18:19:41,Paid Search,Google Ads,CMP-1001,Behavioral Health - Brand,Residential Programs,behavioral health treatment near me,behavioral health treatment near me,Exact,https://harborridge.example.test/admissions,FL,22.36,1,Google Ads,System-Observed
TOUCH-000132,INQ-000188,2026-05-06T16:17:19,Local,GBP,,,,,,,https://harborridge.example.test/contact,CA,,1,GBP,System-Observed
TOUCH-000133,INQ-000189,2026-05-06T14:41:27,Paid Social,Meta,CMP-3001,Family Support Awareness,Community Awareness,,,,https://harborridge.example.test/family-support,WA,11.71,1,Meta,System-Observed
TOUCH-000134,INQ-000190,2026-05-14T14:49:20,Direct,,,,,,,,https://harborridge.example.test/,CO,,1,Direct / Analytics,System-Observed
TOUCH-000135,INQ-000191,2026-05-13T19:04:42,Paid Search,Google Ads,CMP-1003,Detox Near Me - Geo,Family Support,detox center near me,detox center near me,Phrase,https://harborridge.example.test/admissions,NY,25.81,1,Google Ads,System-Observed
TOUCH-000136,INQ-000192,2026-05-03T08:37:37,Local,GBP,,,,,,,https://harborridge.example.test/contact,CO,,1,GBP,System-Observed
TOUCH-000137,INQ-000195,2026-05-13T19:40:09,Paid Search,Google Ads,CMP-1003,Detox Near Me - Geo,Residential Programs,inpatient mental health treatment,inpatient mental health treatment,Phrase,https://harborridge.example.test/admissions,AZ,39.61,1,Google Ads,System-Observed
TOUCH-000138,INQ-000198,2026-05-01T06:35:15,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,CO,,1,Google Organic,System-Observed
TOUCH-000139,INQ-000201,2026-05-05T07:00:38,Local,GBP,,,,,,,https://harborridge.example.test/contact,CA,,1,GBP,System-Observed
TOUCH-000140,INQ-000202,2026-05-02T13:03:40,Paid Search,Google Ads,CMP-1001,Behavioral Health - Brand,Residential Programs,inpatient mental health treatment,inpatient mental health treatment,Broad,https://harborridge.example.test/admissions,WA,43.81,1,Google Ads,System-Observed
